"given_name","powo_taxa","powo_author","powo_dist","Bhardwaj2017","Champion1968","eFI2022","FOI2022","Kumar2013"
"Desmodiastrum racemosum","Desmodiastrum racemosum","(Benth.) A.Pramanik & Thoth.",NA,1,0,0,0,0
"Desmodium hookerianum","Desmodium hookerianum","D.Dietr.",NA,1,0,0,0,0
"Deutzia corymbosa","Deutzia corymbosa","R.Br. ex G.Don","Native",0,1,0,0,0
"Deutzia staminea","Deutzia staminea","R.Br. ex Wall.","Native",1,1,0,0,0
"Dichanthium annulatum","Dichanthium annulatum","(Forssk.) Stapf","Native",1,1,0,0,1
"Dicliptera bupleuroides","Dicliptera bupleuroides","Nees","Native",1,0,0,0,1
"Dicliptera chinensis","Dicliptera chinensis","(L.) Juss.",NA,1,0,0,0,0
"Peristrophe bicalyculata","Dicliptera paniculata","(Forssk.) I.Darbysh.","Native",1,0,0,0,0
"Digitalis purpurea","Digitalis purpurea","L.",NA,1,0,0,0,0
"Dioscorea bulbifera","Dioscorea bulbifera","L.","Native",1,0,0,0,0
"Dioscorea kamoonensis","Dioscorea kamoonensis","Kunth","Native",1,0,0,0,0
"Dioscorea cornifolia","Dioscorea pubera","Blume","Native",1,0,0,0,0
"Diplazium esculentum","Diplazium esculentum","(Retz.) Sw.","Native",1,0,0,0,0
"Diplocyclos palmatus","Diplocyclos palmatus","(L.) C.Jeffrey","Native",1,0,0,0,0
"Disporum pullum","Disporum cantoniense","(Lour.) Merr.","Native",1,0,0,0,0
"Dodonaea viscosa","Dodonaea viscosa","Jacq.","Native",0,1,0,0,0
"Arundinaria falcata","Drepanostachyum falcatum","(Nees) Keng f.","Native",1,1,0,0,0
"Drosera peltata","Drosera lunata","Buch.-Ham. ex DC.","Native",1,0,0,0,0
"Dryopteris nigropaleacea","Dryopteris nigropaleacea","(Fraser-Jenk.) Fraser-Jenk.","Native",1,0,0,0,1
"Dryopteris panda","Dryopteris panda","(C.B.Clarke) C.Chr.","Native",1,0,0,0,0
"Inula cappa","Duhaldea cappa","(Buch.-Ham. ex D.Don) Pruski & Anderb.","Native",1,1,0,0,1
"Inula cuspidata","Duhaldea cuspidata","(DC.) Anderb.","Native",1,0,0,0,0
"Dumasia villosa","Dumasia villosa","DC.","Native",1,0,0,0,0
"Echinochloa colonum","Echinochloa colonum","(L.) Link","Native",1,0,0,0,1
"Echinocystis lobata","Echinocystis lobata","(Michx.) Torr. & A.Gray",NA,1,0,0,0,0
"Elaeagnus parvifolia","Elaeagnus umbellata","Thunb.","Native",1,0,0,0,0
"Engelhardtia colebrookiana","Engelhardia spicata","Lechen ex Blume","Native",0,1,0,0,0
"Epilobium laetum","Epilobium amurense","Hausskn.","Native",1,0,0,0,0
"Epipactis helleborine","Epipactis helleborine","(L.) Crantz","Native",1,0,0,0,1
"Epipactis gigantea","Epipactis royleana","Lindl.","Native",1,0,0,0,0
"Plectranthus mollis","Equilabium molle","(Aiton) Mwany. & A.J.Paton","Native",0,0,0,0,1
"Erigeron acer","Erigeron acris","L.","Native",1,0,0,0,0
"Erigeron multicaulis","Erigeron acris","L.","Native",0,1,0,0,0
"Erigeron annuus","Erigeron annuus","(L.) Desf","Introduced",1,0,0,0,1
"Erigeron bellidioides","Erigeron emodi","I.M.Turner","Native",1,0,0,0,0
"Anemone rivularis","Eriocapitella rivularis","(Buch.-Ham. ex DC.) Christenh. & Byng","Native",0,0,0,0,1
"Anemone vitifolia","Eriocapitella vitifolia","(Buch.-Ham. ex DC.) Nakai","Native",1,0,0,0,0
"Eriophorum comosum","Erioscirpus comosus","(Wall.) Palla","Native",1,0,0,0,1
"Conyza stricta","Eschenbachia japonica","(Thunb.) J.Kost.","Native",1,0,0,0,0
"Eulalia hirtifolia","Eulalia hirtifolia","(Hack.) Kuntze","Native",0,1,0,0,0
"Eulalia mollis","Eulalia mollis","(Griseb.) Kuntze","Native",0,1,0,0,0
"Euonymus pendulus","Euonymus lucidus","D.Don","Native",0,1,0,0,0
"Euonymus tingens","Euonymus tingens","Wall.","Native",1,0,0,0,0
"Euphorbia pilosa","Euphorbia cornigera","Boiss.","Native",1,0,0,0,0
"Euphorbia helioscopia","Euphorbia helioscopia","L.","Native",1,0,0,0,0
"Euphorbia prolifera","Euphorbia prolifera","Buch.-Ham. ex D.Don","Native",0,1,0,0,0
"Euphorbia royleana","Euphorbia royleana","Boiss.","Native",1,0,0,0,0
"Eurya acuminata","Eurya acuminata","DC.","Native",0,1,0,0,0
"Fagopyrum acutatum","Fagopyrum cymosum","(Trevir.) Meisn.","Native",1,0,0,0,0
"Ficus auriculata","Ficus auriculata","Lour.","Native",1,0,0,0,0
"Ficus roxburghii","Ficus auriculata","Lour.","Native",0,1,0,0,0
"Ficus carica","Ficus carica","L.","Native",1,0,0,0,0
"Ficus nemoralis","Ficus neriifolia","Sm.","Native",1,0,0,0,0
"Ficus palmata","Ficus palmata","Forssk.","Native",1,0,0,0,0
"Ficus sarmentosa","Ficus sarmentosa","Buch.-Ham. ex Sm.","Native",1,0,0,0,0
"Fimbristylis rigidula","Fimbristylis rigidula","Nees","Native",1,0,0,0,1
"Flacourtia indica","Flacourtia indica","(Burm.f.) Merr.","Native",0,1,0,0,0
"Flemingia fruticulosa","Flemingia fruticulosa","Wall. ex Benth.","Native",1,1,0,0,0
"Flemingia strobilifera","Flemingia strobilifera","(L.) W.T.Aiton","Native",0,0,0,0,1
"Moghania fruticulosa","Flemingia strobilifera","(L.) W.T.Aiton","Native",0,1,0,0,0
"Fragaria nubicola","Fragaria nubicola","(Lindl. ex Hook.f.) Lacaita","Native",1,0,0,0,0
"Fraxinus micrantha","Fraxinus micrantha","Lingelsh.","Native",0,1,0,0,0
"Fumaria parviflora","Fumaria parviflora","Lam.",NA,1,0,0,0,0
"Gagea elegans","Gagea lutea","(L.) Ker Gawl.","Native",1,0,0,0,0
"Galinsoga parviflora","Galinsoga parviflora","Cav.","Introduced",1,0,0,0,0
"Galium acutum","Galium acutum","Edgew.","Native",1,0,0,0,0
"Galium aparine","Galium aparine","L.","Native",1,1,0,0,0
"Galium asperifolium","Galium asperifolium","Wall.","Native",1,1,0,0,0
"Galium elegans","Galium elegans","Wall.","Native",1,0,0,0,0
"Galium triflorum","Galium triflorum","Michx.","Native",0,0,0,0,1
"Geranium himalayense","Geranium himalayense","Klotzsch","Native",1,0,0,0,0
"Geranium nepalense","Geranium nepalense","Sweet","Native",1,0,0,0,0
"Geranium ocellatum","Geranium ocellatum","Jacquem. ex Cambess.","Native",1,0,0,0,0
"Geranium molle","Geranium pusillum","L.","Native",1,0,0,0,0
"Geranium wallichianum","Geranium wallichianum","D.Don ex Sweet","Native",1,0,0,0,0
"Girardinia diversifolia","Girardinia diversifolia","(Link) Friis","Native",1,0,0,0,1
"Glochidion velutinum","Glochidion heyneanum","(Wight & Arn.) Wight","Native",0,1,0,0,0
"Pouzolzia hirta","Gonostegia triandra","(Blume) Miq.","Native",0,1,0,0,0
"Goodyera biflora","Goodyera biflora","(Lindl.) Hook.f.","Native",1,0,0,0,0
"Goodyera repens","Goodyera repens","(L.) R.Br.","Native",1,0,0,0,0
"Grewia optiva","Grewia optiva","J.R.Drumm. ex Burret","Native",1,0,0,0,0
"Pyrus lanata","Griffitharia lanata","(D.Don) Rushforth","Native",0,1,0,0,0
"Desmodium triflorum","Grona triflora","(L.) H.Ohashi & K.Ohashi","Native",1,0,0,0,1
"Habenaria intermedia","Habenaria intermedia","D.Don","Native",1,0,0,0,0
"Habenaria marginata","Habenaria marginata","Colebr.","Native",1,0,0,0,0
"Habenaria pectinata","Habenaria pectinata","D.Don","Native",1,0,0,0,0
"Hedera helix","Hedera helix","L.",NA,0,0,0,0,1
"Hedera nepalensis","Hedera nepalensis","K.Koch","Native",1,1,0,0,0
"Hedychium spicatum","Hedychium spicatum","Sm.","Native",1,0,0,0,0
"Heliotropium indicum","Heliotropium indicum","L.",NA,1,0,0,0,0
"Hemerocallis lilioasphodelus","Hemerocallis lilioasphodelus","L.","Native",0,0,0,1,0
"Cheilanthes albomarginata","Hemionitis albomarginata","(C.B.Clarke) Christenh.","Native",1,0,0,0,0
"Cheilanthes dalhousieae","Hemionitis albomarginata","(C.B.Clarke) Christenh.","Native",1,0,0,0,0
"Chirita bifolia","Henckelia bifolia","(D.Don) A.Dietr.","Native",1,0,0,0,0
"Heracleum candicans","Heracleum candicans","Wall. ex DC.","Native",1,0,0,0,0
"Herminium lanceum","Herminium lanceum","(Thunb. ex Sw.) Vuijk","Native",1,0,0,0,0
"Heteropogon contortus","Heteropogon contortus","(L.) P.Beauv. ex Roem. & Schult.","Native",1,1,0,0,1
"Himalrandia tetrasperma","Himalrandia tetrasperma","(Wall. ex Roxb.) T.Yamaz.","Native",1,0,0,0,1
"Randia tetrasperma","Himalrandia tetrasperma","(Wall. ex Roxb.) T.Yamaz.","Native",1,0,0,0,0
"Tanacetum dolichophyllum","Hippolytia longifolia","(Rech.f.) C.Shih","Native",0,0,1,0,0
"Hypericum androsaemum","Hypericum androsaemum","L.",NA,1,0,0,0,0
"Hypericum dyeri","Hypericum dyeri","Rehder","Native",1,0,0,0,1
"Hypericum oblongifolium","Hypericum oblongifolium","Choisy","Native",1,0,0,0,0
"Ilex dipyrena","Ilex dipyrena","Wall.","Native",1,1,0,0,0
"Impatiens arguta","Impatiens arguta","Hook.f. & Thomson",NA,1,0,0,0,0
"Impatiens balsamina","Impatiens balsamina","L.","Introduced",1,0,0,0,0
"Impatiens devendrae","Impatiens devendrae","Pusalkar","Native",1,0,0,0,0
"Impatiens laxiflora","Impatiens laxiflora","Edgew.","Native",1,0,0,0,0
"Impatiens scabrida","Impatiens scabrida","DC.","Native",1,0,0,0,0
"Impatiens sulcata","Impatiens sulcata","Wall.","Native",1,0,0,0,0
"Indigofera cassioides","Indigofera cassioides","Rottler ex DC.","Native",0,0,0,0,1
"Indigofera pulchella","Indigofera cassioides","Rottler ex DC.","Native",0,1,0,0,0
"Indigofera dosua","Indigofera dosua","Buch.-Ham. ex D.Don","Native",1,1,0,0,0
"Indigofera gerardiana","Indigofera heterantha","Wall. ex Brandis","Native",0,1,0,0,0
"Indigofera heterantha","Indigofera heterantha","Wall. ex Brandis","Native",1,0,0,0,0
"Ipomoea purpurea","Ipomoea purpurea","(L.) Roth","Introduced",1,0,0,0,0
"Iris nepalensis","Iris decora","Wall.","Native",1,0,0,0,0
