"verbatimScientificName","taxon_name","taxon_authors","LL","UL","IUCN"
"Holoptelea integrifolia Planch.","Holoptelea integrifolia","(Roxb.) Planch.",550,650,"NE"
"Camellia sinensis (L.) Kuntze","Camellia sinensis","(L.) Kuntze",1100,1200,"DD"
"Chrysosplenium tenellum Hook. fil. & Thoms.","Chrysosplenium tenellum","Hook.f. & Thomson",950,3250,"NE"
"Picrasma quassioides (D. Don) Benn.","Picrasma quassioides","(D.Don) Benn.",1300,1700,"NE"
"Corchorus trilocularis L.","Corchorus trilocularis","L.",NA,NA,"NE"
"Datura metel L.","Datura innoxia","Mill.",600,700,"NE"
"Datura metel L.","Datura metel","L.",600,700,"NE"
"Nicandra physalodes (L.) Gaertner","Nicandra physalodes","(L.) Gaertn.",925,1675,"NE"
"Picrorhiza kurrooa Royle","Picrorhiza kurroa","Royle ex Benth.",1100,3100,"EN"
"Astilbe rivularis Buch.-Ham. ex D. Don","Astilbe rivularis","Buch.-Ham. ex D.Don",1050,2550,"NE"
"Physalis minima L.","Physalis angulata","L.",700,1100,"LC"
"Debregeasia saeneb (Forssk.) Hepper & Wood","Debregeasia saeneb","(Forssk.) Hepper & J.R.I.Wood",1000,1400,"LC"
"Buddleja lindleyana Fortune ex Lindl.","Buddleja lindleyana","Fortune",NA,NA,"NE"
"Saxifraga stella-aurea Hook. fil. & Thoms.","Saxifraga stella-aurea","Hook.f. & Thomson",310,4260,"NE"
"Saxifraga pulvinaria H. Sm.","Saxifraga pulvinaria","Harry Sm.",1150,4650,"NE"
"Saxifraga granulata L.","Saxifraga granulata","L.",NA,NA,"NE"
"Scrophularia dentata Royle ex Benth.","Scrophularia dentata","Royle ex Benth.",NA,NA,"NE"
"Verbascum chinense (L.) Li","Verbascum coromandelianum","(Vahl) Hub.-Mor.",800,1200,"NE"
"Ulmus androssowii Litw.","Ulmus × androssowii","Litv.",50,1550,"NE"
"Cestrum elegans (Brongniart) Schltdl.","Cestrum elegans","(Brongn. ex Neumann) Schltdl.",950,1350,"LC"
"Saxifraga stenophylla Royle","Saxifraga stenophylla","Royle",1200,4500,"NE"
"Petunia hybrida (Hook. fil.) Vilmorin","Petunia × atkinsiana","(Sweet) D.Don ex W.H.Baxter",800,1200,"NE"
"Aesculus indica (Colebr. ex Cambess.) Hook.","Aesculus indica","(Wall. ex Cambess.) Hook.",750,2250,"LC"
"Buddleja crispa Benth.","Buddleja crispa","Benth.",1700,2700,"NE"
"Saxifraga lychnitis Hook. fil. & Thoms.","Saxifraga lychnitis","Hook.f. & Thomson",667.5,4932.5,"NE"
