"verbatimScientificName","taxon_name","taxon_authors","LL","UL","IUCN"
"Lagopsis marrubiastrum (Stephan) Ikonn.-Gal.","Lagopsis marrubiastrum","(Stephan) Ikonn.-Gal.",0,4800,"NE"
"Acacia torta (Roxb.) Craib","Senegalia torta","(Roxb.) Maslin, Seigler & Ebinger",550,650,"NE"
"Ocimum americanum L.","Ocimum americanum","L.",400,800,"NE"
"Anisochilus carnosus (L.f.) Wall.","Coleus strobilifer","(Roxb.) A.J.Paton",800,1200,"NE"
"Lamium amplexicaule L.","Lamium amplexicaule","L.",1935,2335,"NE"
"Ajuga integrifolia Buch.-Ham.","Ajuga integrifolia","Buch.-Ham. ex D.Don",2350,2750,"NE"
"Nepeta elliptica Royle ex Benth.","Nepeta elliptica","Royle ex Benth.",1200,1600,"NE"
"Leucas cephalotes (Roth) Spreng.","Leucas cephalotes","(Roth) Spreng.",1125,1275,"NE"
"Perovskia atriplicifolia Benth.","Salvia yangii","B.T.Drew",NA,NA,"NE"
"Nepeta campestris Benth.","Nepeta campestris","Benth.",500,3000,"NE"
"Perilla frutescens (L.) Britton","Perilla frutescens","(L.) Britton",1350,1650,"LC"
"Juncus triglumis L.","Juncus triglumis","L.",950,3750,"LC"
"Ocimum basilicum L.","Ocimum basilicum","L.",900,1100,"NE"
"Isodon lophanthoides (Buch.-Ham. ex D.Don) H.Hara","Isodon lophanthoides","(Buch.-Ham. ex D.Don) H.Hara",1325,1725,"NE"
"Nepeta leucolaena Benth. ex Hook.f.","Nepeta leucolaena","Benth. ex Hook.f.",NA,NA,"NE"
"Phlomoides bracteosa (Royle ex Benth.) Kamelin & Makhm.","Phlomoides bracteosa","(Royle ex Benth.) Kamelin & Makhm.",1650,2850,"NE"
"Endostemon viscosus (Roth) M.R.Ashby","Endostemon viscosus","(Roth) M.R.Ashby",NA,NA,"NE"
"Elsholtzia strobilifera (Benth.) Benth.","Elsholtzia strobilifera","(Benth.) Benth.",1650,3150,"NE"
"Orthosiphon pallidus Royle ex Benth.","Orthosiphon pallidus","Royle ex Benth.",0,100,"NE"
"Leucas decemdentata (Willd.) Sm.","Leucas decemdentata","(Willd.) Sm.",1450,1550,"NE"
"Anisomeles indica (L.) Kuntze","Anisomeles indica","(L.) Kuntze",1125,1325,"NE"
"Clerodendrum indicum (L.) Kuntze","Clerodendrum indicum","(L.) Kuntze",650,750,"NE"
"Nepeta eriostachya Benth.","Nepeta eriostachya","Benth.",550,3050,"NE"
"Craniotome furcata (Link) Kuntze","Craniotome furcata","(Link) Kuntze",1150,2050,"NE"
"Elsholtzia ciliata (Thunb.) Hyl.","Elsholtzia ciliata","(Thunb.) Hyl.",1130,2530,"NE"
"Litsea elongata (Nees) Benth. & Hook. fil.","Litsea elongata","(Nees) Hook.f.",1750,2250,"LC"
"Gmelina arborea Roxb. ex Sm.","Gmelina arborea","Roxb. ex Sm.",800,900,"LC"
"Juncus sphacelatus Decne.","Juncus sphacelatus","Decne.",920,4580,"NE"
"Nepeta ciliaris Benth.","Nepeta ciliaris","Benth.",1800,2200,"NE"
"Curculigo orchioides Gaertn.","Curculigo orchioides","Gaertn.",850,950,"NE"
"Clinopodium vulgare L.","Clinopodium vulgare","L.",1150,2350,"NE"
"Clerodendrum phlomidis L.f.","Clerodendrum phlomidis","L.f.",250,650,"LC"
"Leonurus pubescens Benth.","Leonurus pubescens","Benth.",NA,NA,"NE"
"Juncus inflexus L.","Juncus inflexus","L.",1500,1700,"LC"
"Parrotiopsis jacquemontiana (Decne.) Rehder","Parrotiopsis jacquemontiana","(Decne.) Rehder",400,2100,"LC"
"Salvia plebeia R.Br.","Salvia plebeia","R.Br.",677.5,847.5,"NE"
"Micromeria biflora (Buch.-Ham. ex D.Don) Benth.","Micromeria biflora","(Buch.-Ham. ex D.Don) Benth.",2300,2700,"NE"
"Nepeta govaniana (Wall. ex Benth.) Benth.","Nepeta govaniana","(Wall. ex Benth.) Benth.",950,3050,"NE"
"Salvia santolinifolia Boiss.","Salvia santolinifolia","Boiss.",NA,NA,"NE"
"Mentha spicata L.","Mentha spicata","L.",450,2250,"LC"
"Nepeta discolor Royle ex Benth.","Nepeta discolor","Royle ex Benth.",1300,3700,"NE"
"Elsholtzia eriostachya (Benth.) Benth.","Elsholtzia eriostachya","(Benth.) Benth.",1040,3840,"NE"
"Rhynchoglossum obliquum Blume","Rhynchoglossum obliquum","Blume",1350,1450,"NE"
"Leucas zeylanica (L.) W.T.Aiton","Leucas zeylanica","(L.) W.T.Aiton",712.5,812.5,"NE"
"Luzula spicata (L.) DC.","Luzula spicata","(L.) DC.",500,4000,"NE"
"Isodon ternifolius (D.Don) Kud???_","Isodon ternifolius","(D.Don) Kudô",793.5,1006.5,"NE"
"Eriophyton rhomboideum (Benth.) Ryding","Eriophyton rhomboideum","(Benth.) Ryding",0,4500,"NE"
"Iris kemaonensis Wall. ex D.Don","Iris kemaonensis","Wall. ex D.Don",2050,2450,"NE"
"Hypericum perforatum L.","Hypericum perforatum","L.",1000,2000,"NE"
"Clinopodium capitellatum (Benth.) Kuntze","Clinopodium capitellatum","(Benth.) Kuntze",NA,NA,"LC"
"Callicarpa macrophylla Vahl","Callicarpa macrophylla","Vahl",950,1050,"LC"
"Colquhounia coccinea Wall.","Colquhounia coccinea","Wall.",1500,2700,"NE"
"Itea nutans Royle","Itea nutans","Royle",695.5,1304.5,"NE"
"Juncus prismatocarpus R.Br.","Juncus prismatocarpus","R.Br.",1625,1875,"LC"
"Erodium stephanianum Willd.","Erodium stephanianum","Willd.",750,3250,"NE"
"Ribes orientale Desf.","Ribes orientale","Desf.",850,2950,"NE"
"Leonurus cardiaca L.","Leonurus cardiaca","L.",900,2700,"NE"
"Hypoxis aurea Lour.","Hypoxis aurea","Lour.",1630,2030,"NE"
"Elsholtzia fruticosa (D.Don) Rehder","Elsholtzia fruticosa","(D.Don) Rehder",1500,2700,"NE"
"Juncus compressus Jacq.","Juncus compressus","Jacq.",NA,NA,"LC"
"Elsholtzia kachinensis Prain","Elsholtzia kachinensis","Prain",NA,NA,"NE"
"Lycopus europaeus L.","Lycopus europaeus","L.",800,1200,"LC"
"Nepeta linearis Royle ex Benth.","Nepeta linearis","Royle ex Benth.",400,2200,"NE"
"Coleus forskohlii (Willd.) Briq.","Coleus barbatus var. barbatus",NA,800,1200,"NE"
"Platostoma hispidum (L.) A.J.Paton","Platostoma hispidum","(L.) A.J.Paton",800,1200,"NE"
"Isodon wightii (Benth.) H.Hara","Isodon wightii","(Benth.) H.Hara",1050,2250,"NE"
"Leucas hyssopifolia Benth.","Leucas hyssopifolia","Benth.",152.5,457.5,"NE"
"Juncus leucanthus Royle ex D.Don","Juncus leucanthus","Royle ex D.Don",950,3950,"NE"
"Juncus thomsonii Buchenau","Juncus thomsonii","Buchenau",1250,3950,"NE"
"Ribes nigrum L.","Ribes nigrum","L.",NA,NA,"NE"
"Hydrangea macrophylla (Thunb.) Seringe","Hydrangea macrophylla","(Thunb.) Ser.",850,1650,"NE"
"Elsholtzia stachyodes (Link) Raizada & H.O.Saxena","Elsholtzia stachyodes","(Link) Raizada & H.O.Saxena",850,1850,"NE"
"Gentianella rapunculoides (Willd. ex Schultes) J.S. Pringle","Gentianella rapunculoides","(Willd. ex Schult.) J.S.Pringle",600,3600,"NE"
"Juncus membranaceus Royle","Juncus membranaceus","Royle",750,3750,"NE"
"Hypericum leschenaultii Choisy","Hypericum leschenaultii","Choisy",350,2650,"NE"
"Elsholtzia flava Benth.","Elsholtzia flava","(Benth.) Benth.",950,1950,"NE"
"Hypericum monanthemum Hook.f. & Thomson ex Dyer","Hypericum monanthemum","Hook.f. & Thomson ex Dyer",1950,2450,"NE"
"Hypericum choisianum Wall.","Hypericum choisyanum","Wall. ex N.Robson",1000,2600,"NE"
"Hypericum oblongifolium Choisy","Hypericum oblongifolium","Choisy",1100,1900,"NE"
"Hyssopus officinalis L.","Hyssopus officinalis","L.",300,3100,"NE"
"Clerodendrum infortunatum L.","Clerodendrum infortunatum","L.",393.5,606.5,"NE"
"Triglochin palustris L.","Triglochin palustris","L.",1050,3950,"LC"
"Hypericum dyeri Rehder","Hypericum dyeri","Rehder",500,2000,"NE"
"Juglans regia L.","Juglans regia","L.",1250,1750,"LC"
"Swertia paniculata Wall.","Swertia paniculata","Wall.",1250,2750,"NE"
"Geranium pratense L.","Geranium pratense","L.",1250,2650,"NE"
"Ajuga parviflora Benth.","Ajuga parviflora","Benth.",2000,2400,"NE"
"Luzula campestris (L.) DC.","Luzula campestris","(L.) DC.",800,2300,"NE"
"Clerodendrum chinense (Osbeck) Mabb.","Clerodendrum chinense","(Osbeck) Mabb.",900,1100,"LC"
"Nepeta graciliflora Benth.","Nepeta graciliflora","Benth.",700,1100,"NE"
"Holmskioldia sanguinea Retz.","Holmskioldia sanguinea","Retz.",700,800,"NE"
"Elsholtzia densa Benth.","Elsholtzia densa","Benth.",1240,3640,"NE"
"Hypericum uralum Buch.-Ham. ex D. Don","Hypericum uralum","Buch.-Ham. ex D.Don",1300,2300,"NE"
"Ajuga macrosperma Wall. ex Benth.","Ajuga macrosperma","Wall. ex Benth.",1450,1850,"NE"
"Leucas nutans (Roth) Spreng.","Leucas nutans","(Roth) Spreng.",300,700,"NE"
"Ajuga brachystemon Maxim.","Ajuga parviflora","Benth.",1550,1950,"NE"
"Geranium molle L.","Geranium molle","L.",NA,NA,"NE"
"Clinopodium umbrosum (M.Bieb.) K.Koch","Clinopodium umbrosum","(M.Bieb.) K.Koch",1850,1950,"NE"
"Philadelphus tomentosus Wall.","Deutzia staminea","R.Br. ex Wall.",1850,1950,"NE"
"Philadelphus tomentosus Wall.","Philadelphus tomentosus","Wall. ex G.Don",1850,1950,"NE"
"Swertia tetragona Edgew.","Swertia tetragona","Edgew.",750,2550,"NE"
"Juncus concinnus D.Don","Juncus concinnus","D.Don",1700,3500,"NE"
"Juncus himalensis Klotzsch","Juncus himalensis","Klotzsch",1450,3750,"NE"
"Iris hookeriana Foster","Iris hookeriana","Foster",550,2950,"NE"
"Gentiana nubigena Edgew.","Gentiana nubigena","Edgew.",450,4550,"NE"
"Juncus articulatus L.","Juncus articulatus","L.",1800,2200,"LC"
"Juncus leucomelas Royle ex D.Don","Juncus leucomelas","Royle ex D.Don",1350,4250,"NE"
"Geranium wallichianum D. Don ex Sweet","Geranium wallichianum","D.Don ex Sweet",1300,2900,"LC"
"Iris domestica (L.) Goldblatt & Mabb.","Iris domestica","(L.) Goldblatt & Mabb.",1150,1250,"NE"
"Swertia lurida Royle ex D. Don","Swertia lurida","(D.Don) C.B.Clarke",0,2500,"NE"
"Gentiana pedicellata (Wall. ex D. Don) Griseb.","Gentiana pedicellata","(D.Don) Griseb.",1875,2625,"NE"
"Myriophyllum spicatum L.","Myriophyllum spicatum","L.",1600.5,2819.5,"LC"
"Hypericum hookerianum Wight & Arn.","Hypericum hookerianum","Wight & Arn.",1150,2350,"NE"
"Pelargonium hortorum Bailey","Pelargonium × hybridum","(L.) L'Hér.",NA,NA,"NE"
"Engelhardia spicata Lesch. ex Bl.","Engelhardia spicata","Lechen ex Blume",850,1250,"NE"
"Juncus bufonius L.","Juncus bufonius","L.",2235,2335,"LC"
"Ribes alpestre Wall. ex Decne.","Ribes alpestre","Wall. ex Decne.",900,3100,"NE"
"Henckelia bifolia (D. Don) A. Dietr.","Henckelia bifolia","(D.Don) A.Dietr.",1550,2450,"NE"
"Ribes glaciale Wall.","Ribes glaciale","Wall.",1250,3150,"NE"
"Swertia ciliata (G. Don) B. L. Burtt","Swertia purpurascens","(D.Don) C.B.Clarke",1000,3000,"NE"
"Triglochin maritima L.","Triglochin maritima","L.",1595,4195,"LC"
"Corallodiscus lanuginosus (Wall. ex R. Brown) B.L. Burtt","Corallodiscus lanuginosus","(Wall. ex R.Br.) B.L.Burtt",1450,2150,"NE"
"Isodon japonicus (Burm. f.) H.Hara","Isodon japonicus","(Burm.f.) H.Hara",1300,2200,"NE"
"Gentiana tianschanica Rupr.","Gentiana kirilowii","Turcz.",0,5000,"NE"
"Deutzia staminea R. Br. ex Wall.","Deutzia staminea","R.Br. ex Wall.",1143,2057,"NE"
"Gentiana clarkei Kuzn.","Gentiana clarkei","Kusn.",NA,NA,"NE"
"Hydrilla verticillata (L.f.) Royle","Hydrilla verticillata","(L.f.) Royle",950,1050,"LC"
"Hypericum japonicum Thunb. ex Murray","Hypericum japonicum","Thunb.",1425,1575,"NE"
"Hydrangea heteromalla D. Don","Hydrangea heteromalla","D.Don",600,2900,"LC"
"Geranium polyanthes Edgew. & Hook. f.","Geranium polyanthes","Edgew. & Hook.f.",1050,3450,"NE"
"Swertia petiolata D. Don","Swertia petiolata","D.Don",1350,4250,"NE"
"Geranium mascatense Boiss.","Geranium mascatense","Boiss.",1598,1902,"NE"
"Vallisneria spiralis L.","Vallisneria spiralis","L.",950,1050,"LC"
"Gentiana aquatica L.","Gentiana aquatica","L.",1000,3500,"NE"
"Geranium nepalense Sweet","Geranium nepalense","Sweet",1500,2500,"NE"
"Deutzia hookeriana (Schneid.) Airy Shaw","Deutzia compacta","Craib",750,2750,"NE"
"Clerodendrum cordatum D.Don","Clerodendrum infortunatum","L.",700,800,"NE"
"Iris milesii Baker ex Foster","Iris milesii","Baker ex Foster",550,2150,"NE"
"Quercus glauca Thunb.","Quercus glauca","Thunb.",1325,1775,"LC"
"Swertia speciosa G. Don","Swertia speciosa","D.Don",733.5,3533.5,"NE"
"Deutzia compacta Craib","Deutzia compacta","Craib",1300,2500,"NE"
"Geranium sibiricum L.","Geranium sibiricum","L.",NA,NA,"NE"
"Geranium himalayense Klotzsch in Klotzsch & Garcke","Geranium himalayense","Klotzsch",850,3350,"NE"
"Gentiana tubiflora (Wall. ex G. Don) Griseb.","Gentiana tubiflora","(G.Don) Griseb.",950,4750,"NE"
"Ribes himalense Royle ex Decne.","Ribes himalense","Royle ex Decne.",750,3150,"NE"
"Quercus robur L.","Quercus robur","L.",100,1800,"LC"
"Sapium sebiferum (L.) Dum. Cours.","Triadica sebifera","(L.) Small",655.5,868.5,"NE"
"Geranium lambertii Sweet","Geranium lamberti","Sweet",925,3275,"NE"
"Hypericum elodeoides Choisy","Hypericum elodeoides","Choisy",1200,2300,"NE"
"Didymocarpus pedicellatus R. Brown","Didymocarpus pedicellatus","R.Br.",1150,1650,"NE"
"Platystemma violoides Wall.","Platystemma violoides","Wall.",950,2450,"NE"
"Swertia thomsonii C. B. Cl.","Swertia thomsonii","C.B.Clarke",0,3000,"NE"
"Swertia angustifolia Buch.-Ham. ex D. Don","Swertia angustifolia","Buch.-Ham. ex D.Don",1300,1500,"NE"
"Euphorbia thyrsoidea Boiss.","Euphorbia thyrsoidea","Boiss.",NA,NA,"NE"
"Quercus michauxii Nutt.","Quercus michauxii","Nutt.",NA,NA,"LC"
"Geranium lucidum L.","Geranium lucidum","L.",600,2400,"NE"
"Iris germanica L.","Iris × germanica","L.",500,2000,"NE"
"Gentiana venusta Wall.","Gentiana venusta","(G.Don) Wall. ex Griseb.",1400,4400,"NE"
"Geranium tuberaria Jacquem. ex Cambess. in Jacquem.","Geranium tuberaria","Cambess.",350,2150,"NE"
"Gentianopsis contorta (Royle) Ma","Gentianopsis contorta","(Royle) Ma",305,3353,"NE"
"Gentiana stipitata Edgew.","Gentiana stipitata","Edgew.",750,3750,"NE"
"Acalypha ciliata Forssk.","Acalypha ciliata","Forssk.",300,700,"NE"
"Geranium rectum Trautv.","Geranium rectum","Trautv.",0,3400,"NE"
"Gentiana squarrosa Ledeb.","Gentiana squarrosa","Ledeb.",1800,1900,"NE"
"Geranium robertianum L.","Geranium robertianum","L.",1009.5,2990.5,"NE"
"Jaeschkea canaliculata (Royle ex G. Don) Knoblauch","Jaeschkea canaliculata","(Royle ex G.Don) Knobl.",600,3600,"NE"
"Swertia cuneata Wall.","Swertia cuneata","D.Don",1000,4000,"NE"
"Swertia alata Royle ex D. Don","Swertia alata","(D.Don ex G.Don) Royle ex C.B.Clarke",1650,2350,"NE"
"Swertia alata Royle ex D. Don","Swertia arisanensis","Hayata",1650,2350,"NE"
"Hydrangea anomala D. Don","Hydrangea anomala","D.Don",988,2512,"NE"
"Halenia elliptica D. Don","Halenia elliptica","D.Don",2088.5,2788.5,"NE"
"Croton bonplandianus Baill.","Croton bonplandianus","Baill.",450,550,"NE"
"Fagus sylvatica L.","Fagus sylvatica","L.",NA,NA,"LC"
"Geranium rivulare Vill.","Geranium rivulare","Vill.",NA,NA,"NE"
"Swertia pulchella Buch.-Ham. ex D. Don","Swertia angustifolia var. minor","(D.Don) ined.",NA,NA,"NE"
"Euphorbia clarkeana Hook.f.","Euphorbia clarkeana","Hook.f.",200,600,"NE"
"Lomatogonium carinthiacum (Wulfen) Reichenb.","Lomatogonium carinthiacum","(Wulfen) A.Braun",1250,3750,"NE"
"Henckelia pumila (D. Don) A. Dietr.","Henckelia pumila","(D.Don) A.Dietr.",1000,1500,"NE"
"Euphorbia nivulia Buch.-Ham.","Euphorbia nivulia","Buch.-Ham.",0,100,"NE"
"Enicostema axillare (Lam.) A. Raynal","Enicostema axillare","(Poir. ex Lam.) A.Raynal",0,100,"NE"
"Swertia cordata (Wall. ex G. Don) C. B. Cl.","Swertia cordata","(G.Don) Wall. ex C.B.Clarke",1000,2500,"NE"
"Deutzia corymbosa R. Br. ex G. Don","Deutzia corymbosa","R.Br. ex G.Don",700,2800,"NE"
"Hippophae tibetana Schltdl.","Hippophae tibetana","Schltdl.",750,4250,"NE"
"Comastoma pedunculatum (Royle ex G. Don) Holub","Comastoma pedunculatum","(Royle ex G.Don) Holub",1350,3150,"NE"
"Gentiana algida Pall.","Gentiana algida","Pall.",250,4050,"NE"
"Rhododendron lepidotum Wall.","Rhododendron lepidotum","Wall. ex G.Don",1300,3400,"NE"
"Mallotus philippensis (Lam.) M???_ll.Arg.","Mallotus philippensis","(Lam.) Müll.Arg.",825,975,"LC"
"Canscora diffusa (Vahl) R. Br.","Canscora diffusa","(Vahl) R.Br. ex Roem. & Schult.",475,625,"NE"
"Swertia chirayita (Roxb. ex Fleming) Karst.","Swertia chirayita","(Roxb.) H.Karst.",900,2100,"NE"
"Gentiana olivieri Griseb.","Gentiana olivieri","Griseb.",NA,NA,"NE"
"Gentiana decemfida Buch.-Ham. ex D. Don","Gentiana decemfida","Buch.-Ham. ex D.Don",1050,1450,"NE"
"Eriocaulon sollyanum Royle","Eriocaulon sollyanum","Royle",0,150,"NE"
"Geranium collinum Stephan ex Willd.","Geranium collinum","Stephan ex Willd.",1150,2850,"NE"
"Gentiana infelix C. B. Cl.","Kuepferia infelix","(C.B.Clarke) Adr.Favre",700,4900,"NE"
"Hoppea dichotoma Hayne ex Willd.","Hoppea dichotoma","Willd.",200,600,"LC"
"Rhododendron hypenanthum I. B. Balf.","Rhododendron anthopogon subsp. hypenanthum","(Balf.f.) Cullen",685,3885,"NE"
"Gentiana leucomelaena Maxim.","Gentiana leucomelaena","Maxim.",800,3900,"NE"
"Swertia alternifolia Royle","Swertia alternifolia","Royle",500,3500,"NE"
"Erodium cicutarium Lange","Erodium cicutarium","(L.) L'Hér.",1000,2200,"NE"
"Gentiana coronata Royle","Gentiana coronata","Royle",0,3000,"NE"
"Euphorbia prostrata Aiton","Euphorbia prostrata","Aiton",850,1150,"NE"
"Gentianopsis paludosa (Munro ex J. D. Hook.) Ma","Gentianopsis paludosa","(Hook.f.) Ma",938.5,3938.5,"NE"
"Gentiana kurroo Royle","Gentiana kurroo","Royle",530,2230,"CR"
"Euphorbia pulcherrima Willd. ex Klotzsch","Euphorbia pulcherrima","Willd. ex Klotzsch",485,715,"LC"
"Euphorbia celastroides Boiss.","Euphorbia celastroides","Boiss.",NA,NA,"NE"
"Jatropha curcas L.","Jatropha curcas","L.",950,1050,"LC"
"Quercus benthamii A.DC.","Quercus benthamii","A.DC.",NA,NA,"NT"
"Rhododendron anthopogon D. Don","Rhododendron setosum","D.Don",1350,3750,"NE"
"Rhododendron anthopogon D. Don","Rhododendron anthopogon","D.Don",1350,3750,"NE"
"Canscora alata (Roth) Wall.","Canscora alata","(Roth) Wall.",1050,1450,"NE"
"Quercus rubra L.","Quercus rubra","L.",NA,NA,"LC"
"Gentiana prostrata Haenke","Gentiana prostrata","Haenke",835,4495,"NE"
"Menyanthes trifoliata L.","Menyanthes trifoliata","L.",1250,1650,"LC"
"Gentiana argentea Royle ex D. Don","Gentiana argentea","(Royle ex D.Don) Royle ex D.Don",2000,2400,"NE"
"Quercus semecarpifolia Sm.","Quercus semecarpifolia","Sm.",1150,2850,"LC"
"Eriocaulon cinereum R.Br.","Eriocaulon cinereum","R.Br.",1150,1350,"LC"
"Ricinus communis L.","Ricinus communis","L.",1425,1575,"NE"
"Diospyros lotus L.","Diospyros lotus","L.",1100,1400,"LC"
"Dioscorea deltoidea Wall. ex Griseb.","Dioscorea deltoidea","Wall. ex Griseb.",1700,1800,"NE"
"Comastoma tenellum (Rottb.) Toyok.","Comastoma tenellum","(Rottb.) Toyok.",1000,4000,"NE"
"Centaurium centaurioides (Roxb.) S.R.Rao & Hemadri","Centaurium centaurioides","(Roxb.) S.R.Rao & Hemadri",150,550,"NE"
"Gentianella moorcroftiana (Wall. ex Griseb.) Airy Shaw","Gentianella moorcroftiana","(Wall. ex Griseb.) Airy Shaw",1250,3950,"NE"
"Quercus floribunda Lindl. ex A.Camus","Quercus floribunda","Lindl. ex A.Camus",450,2250,"LC"
"Geranium rotundifolium L.","Geranium rotundifolium","L.",1800,2200,"NE"
"Drosera peltata Thunb.","Drosera peltata","Thunb.",1200,2400,"LC"
"Gentiana carinata (D.Don) Griseb.","Gentiana carinata","(D.Don ex G.Don) Griseb.",750,3450,"NE"
"Lipocarpha chinensis (Osbeck) J.Kern","Cyperus albescens","(Steud.) Larridon & Govaerts",1015,1115,"LC"
"Euphorbia thymifolia L.","Euphorbia thymifolia","L.",800,1000,"NE"
"Euphorbia stracheyi Boiss.","Euphorbia stracheyi","Boiss.",1500,3500,"NE"
"Elatine triandra Schkuhr","Elatine triandra","Schkuhr",0,2300,"LC"
"Quercus dilatata Lindl.","Quercus floribunda","Lindl. ex A.Camus",835.5,2664.5,"NE"
"Quercus dilatata Lindl.","Quercus floribunda","Lindl. ex A.Camus",835.5,2664.5,"NE"
"Quercus dilatata Lindl.","Quercus marilandica","(L.) Münchh.",835.5,2664.5,"NE"
"Quercus dilatata Lindl.","Quercus robur subsp. robur",NA,835.5,2664.5,"NE"
"Euphorbia hispida Boiss.","Euphorbia hispida","Boiss.",100,1800,"NE"
"Pycreus pumilus (L.) Nees","Cyperus pumilus","L.",1050,1150,"LC"
"Euphorbia wallichii Hook.f.","Euphorbia wallichii","Hook.f.",700,3000,"NE"
"Exacum tetragonum Roxb.","Exacum tetragonum","Roxb.",750,1250,"LC"
"Euphorbia helioscopia L.","Euphorbia helioscopia","L.",1250,1450,"NE"
"Euphorbia maddenii Boiss.","Euphorbia maddenii","Boiss.",300,2100,"NE"
"Quercus leucotrichophora A.Camus","Quercus leucotrichophora","A.Camus",850,1650,"NE"
"Kobresia laxa Nees","Carex pseudolaxa","(C.B.Clarke) O.Yano & S.R.Zhang",1400,3100,"NE"
"Scabiosa speciosa Royle","Lomelosia speciosa","(Royle) Soják",600,2900,"NE"
"Eriocaulon quinquangulare L.","Eriocaulon quinquangulare","L.",300,700,"NE"
"Euphorbia pilosa L.","Euphorbia pilosa","L.",950,2550,"NE"
"Diospyros montana Roxb.","Diospyros montana","Roxb.",457.5,761.5,"NE"
"Eriophorum comosum Wall.","Erioscirpus comosus","(Wall.) Palla",1650,1850,"NE"
"Chrozophora tinctoria (L.) A.Juss.","Chrozophora tinctoria","(L.) A.Juss.",200,600,"LC"
"Euphorbia jacquemontii Boiss.","Euphorbia jacquemontii","Boiss.",NA,NA,"NE"
"Kobresia royleana (Nees) Boeckeler","Carex kokanica","(Regel) S.R.Zhang",850,4350,"NE"
"Baliospermum solanifolium (Burm.) Suresh","Baliospermum solanifolium","(Burm.) Suresh",750,850,"LC"
"Eriocaulon nepalense J.D.Prescott ex Bong.","Eriocaulon nepalense","J.D.Prescott ex Bong.",1300,1700,"LC"
"Euphorbia royleana Boiss.","Euphorbia royleana","Boiss.",1015,1115,"NE"
"Euphorbia tibetica Boiss.","Euphorbia tibetica","Boiss.",850,4150,"NE"
"Euphorbia fusiformis Buch.-Ham. ex D.Don","Euphorbia fusiformis","Buch.-Ham. ex D.Don",0,450,"NE"
"Gentiana cachemirica Decne.","Gentiana cachemirica","Decne.",850,3250,"NE"
"Jaeschkea oligosperma (Griseb.) Knobl.","Jaeschkea oligosperma","Knobl.",NA,NA,"NE"
"Falconeria insignis Royle","Falconeria insignis","Royle",850,1150,"NE"
"Monotropa hypopitys NA","Monotropa hypopitys","L.",850,2850,"NE"
"Euphorbia indica Lam.","Euphorbia indica","Lam.",650,1050,"NE"
"Diospyros kaki L.f.","Diospyros kaki","L.f.",800,1200,"LC"
"Kobresia vaginosa C.B.Clarke","Carex vaginosa","(C.B.Clarke) S.R.Zhang",288.5,4588.5,"NE"
"Elaeagnus angustifolia L.","Elaeagnus angustifolia","L.",600,2400,"LC"
"Diospyros malabarica (Desr.) Kostel.","Diospyros malabarica","(Desr.) Kostel.",700,800,"NE"
"Rhododendron campanulatum D. Don","Rhododendron campanulatum","D.Don",913.5,3656.5,"NE"
"Hippophae salicifolia D. Don","Hippophae salicifolia","D.Don",750,2750,"NE"
"Kyllinga squamulata Vahl","Cyperus metzii","(Hochst. ex Steud.) Mattf. & Kük.",500,2500,"NE"
"Euphorbia kanaorica Boiss.","Euphorbia kanaorica","Boiss.",500,2500,"NE"
"Diospyros exsculpta Buch.-Ham.","Diospyros melanoxylon var. tupru","(Buch.-Ham.) V.Singh",250,650,"NE"
"Diospyros exsculpta Buch.-Ham.","Diospyros melanoxylon var. melanoxylon",NA,250,650,"NE"
"Euphorbia heterophylla L.","Euphorbia heterophylla","L.",1050,1450,"LC"
"Gaultheria nummularioides D. Don","Gaultheria nummularioides","D.Don",1550,2550,"NE"
"Ephedra gerardiana Wall. ex Stapf","Ephedra gerardiana","Wall. ex Klotzsch & Garcke",1609.5,3590.5,"NE"
"Cyperus difformis L.","Cyperus difformis","L.",1350,1450,"LC"
"Eleocharis palustris (L.) Roem. & Schult.","Eleocharis palustris","(L.) Roem. & Schult.",2400,2800,"LC"
"Euphorbia milii Des Moul.","Euphorbia milii","Des Moul.",625,875,"LC"
"Acalypha brachystachya Hornem.","Acalypha brachystachya","Hornem.",900,1600,"NE"
"Fimbristylis pierotii Miq.","Fimbristylis pierotii","Miq.",0,2400,"NE"
"Lipocarpha squarrosa (L.) Goetgh.","Cyperus neochinensis","(Tang & F.T.Wang) Bauters",850,950,"NE"
"Eleocharis atropurpurea (Retz.) J.Presl & C.Presl","Eleocharis atropurpurea","(Retz.) J.Presl & C.Presl",1000,1400,"LC"
"Elaeagnus latifolia L.","Elaeagnus latifolia","L.",76,533,"NE"
"Gentiana capitata Buch.-Ham. ex D.Don","Gentiana capitata","Buch.-Ham. ex D.Don",1700,3200,"NE"
"Triadica sebifera (L.) Small","Triadica sebifera","(L.) Small",650,1150,"LC"
"Gaultheria trichophylla Royle","Gaultheria trichophylla","Royle",900,3600,"NE"
"Euphorbia neriifolia L.","Euphorbia neriifolia","L.",700,1100,"LC"
"Dioscorea belophylla (Prain) Voigt ex Haines","Dioscorea belophylla","(Prain) Voigt ex Haines",975,1175,"NE"
"Pycreus flavidus (Retz.) T.Koyama","Cyperus flavidus","Retz.",1825,1975,"LC"
"Carex setosa Boott","Carex setosa","Boott",1435,2835,"NE"
"Cyperus niveus Retz.","Cyperus niveus","Retz.",1400,1500,"NE"
