"given_name","powo_taxa","powo_author","powo_dist","Champion1968","Choudhary2007","Choudhary2012","eFI2022","FOI2022","Gupta1998","Radha2019","Subramani2014","Thakur2021a"
"Aster molliusculus","Aster molliusculus","(Lindl. ex DC.) C.B.Clarke","Native",0,0,0,0,0,1,0,1,0
"Aster peduncularis","Cordiofontis peduncularis","(Wall. ex Nees) G.L.Nesom","Native",0,0,0,0,0,1,0,0,0
"Aster thomsonii","Cordiofontis flexuosa","(Royle ex Lindl.) G.L.Nesom","Native",0,0,1,0,0,0,0,0,0
"Astilbe rivularis","Astilbe rivularis","Buch.-Ham. ex D.Don","Native",0,0,0,0,0,1,0,1,0
"Bauhinia variegata","Bauhinia variegata","L.","Doubtful",0,0,1,0,0,0,1,0,0
"Begonia picta","Begonia picta","Sm.","Native",0,0,1,0,0,0,0,0,0
"Berberis angulosa","Berberis angulosa","Wall. ex Hook.f. & Thomson",NA,0,0,0,0,0,1,0,0,0
"Berberis aristata","Berberis aristata","DC.","Native",0,0,1,1,0,0,0,1,0
"Berberis coriaria","Berberis coriaria","Royle ex Lindl.","Native",0,0,0,0,0,0,0,1,0
"Berberis jaeschkeana","Berberis jaeschkeana","C.K.Schneid.","Native",0,0,0,0,0,0,0,1,0
"Berberis lycium","Berberis lycium","Royle","Native",0,0,0,1,0,0,1,0,0
"Bergenia ciliata","Bergenia ciliata","(Haw.) Sternb.","Native",0,1,0,0,0,1,0,0,0
"Bergenia stracheyi","Bergenia stracheyi","(Hook.f. & Thomson) Engl.","Native",0,0,0,0,0,1,0,0,0
"Betula alnoides","Betula alnoides","Buch.-Ham. ex D.Don","Native",1,0,1,0,0,0,0,0,0
"Betula utilis","Betula utilis","D.Don","Native",1,1,0,0,0,1,1,1,1
"Bidens tripartita","Bidens tripartita","L.","Native",0,0,0,0,0,0,0,1,0
"Bistorta affinis","Bistorta affinis","(D.Don) Greene","Native",0,0,0,1,0,1,0,1,0
"Bistorta amplexicaulis","Bistorta amplexicaulis","(D.Don) Greene","Native",0,0,0,0,0,1,0,0,0
"Bistorta emodi","Bistorta emodi","(Meisn.) H.Hara","Native",0,0,0,0,0,0,0,1,0
"Bistorta vivipara","Bistorta vivipara","(L.) Delarbre","Native",0,0,0,1,0,0,0,0,0
"Boehmeria platyphylla","Boehmeria virgata","(G.Forst.) Guill.","Native",0,0,0,0,0,1,0,0,0
"Boenninghausenia albiflora","Boenninghausenia albiflora","(Hook.) Rchb. ex Meisn.","Native",0,1,0,0,0,1,0,0,0
"Brachiaria villosa","Urochloa villosa","(Lam.) T.Q.Nguyen","Native",0,0,0,0,0,0,0,1,0
"Brachypodium sylvaticum","Brachypodium sylvaticum","(Huds.) P.Beauv.","Native",1,0,0,0,0,0,0,0,0
"Bromus asper","Bromus ramosus","Huds.","Native",1,0,0,0,0,0,0,0,0
"Bromus japonicus","Bromus japonicus","Houtt.","Native",1,0,0,0,0,0,0,0,0
"Bromus ramosus","Bromus ramosus","Huds.","Native",0,0,0,0,0,0,0,1,0
"Buddleja paniculata","Buddleja asiatica","Lour.","Native",0,0,1,0,0,0,0,0,0
"Bupleurum aitchisonii","Bupleurum aitchisonii","(Boiss.) H.Wolff","Native",0,0,0,0,0,0,0,1,0
"Bupleurum candollei","Bupleurum candollei","Wall. ex DC.","Native",0,0,1,0,0,0,0,0,0
"Bupleurum falcatum","Bupleurum marginatum","Wall. ex DC.","Native",0,0,0,0,0,0,0,1,0
"Bupleurum lanceolatum","Bupleurum lanceolatum","Wall. ex DC.","Native",0,0,0,0,0,0,0,1,0
"Bupleurum longicaule","Bupleurum longicaule","Wall. ex DC.","Native",0,0,0,1,0,1,0,0,0
"Bupleurum maddenii","Bupleurum maddenii","C.B.Clarke","Native",0,0,0,0,0,0,0,1,0
"Bupleurum tenue","Bupleurum hamiltonii","N.P.Balakr.","Native",0,0,0,0,0,1,0,0,0
"Buxus wallichiana","Buxus wallichiana","Baill.","Native",0,0,0,0,0,0,0,1,1
"Calamagrostis emodensis","Calamagrostis emodensis","Griseb.","Native",0,0,0,0,0,0,0,1,0
"Calamagrostis pseudophragmites","Calamagrostis pseudophragmites","(Haller f.) Koeler","Native",0,0,0,0,0,0,0,1,0
"Calanthe tricarinata","Calanthe tricarinata","Lindl.","Native",0,0,0,1,0,1,0,1,0
"Calotropis procera","Calotropis procera","(Aiton) W.T.Aiton",NA,0,0,0,0,0,1,0,0,0
"Caltha palustris","Caltha palustris","L.","Native",0,0,0,0,0,1,0,0,0
