"powo_taxa","powo_author","powo_dist","Morni","Chail","Churdhar"
"Brachypodium sylvaticum","(Huds.) P.Beauv.","Native",0,0,1
"Brassica rapa","L.","Introduced",1,0,0
"Bridelia retusa","(L.) A.Juss.","Native",1,0,0
"Bromus japonicus","Houtt.","Native",0,0,1
"Bromus ramosus","Huds.","Native",0,0,1
"Broussonetia papyrifera","(L.) L'Hér. ex Vent.","Native",1,0,0
"Buchanania cochinchinensis","(Lour.) M.R.Almeida","Native",1,0,0
"Buchnera hispida","Buch.-Ham. ex D.Don","Native",1,0,0
"Buddleja asiatica","Lour.","Native",0,1,1
"Buddleja crispa","Benth.","Native",0,1,0
"Bupleurum aitchisonii","(Boiss.) H.Wolff","Native",0,0,1
"Bupleurum candollei","Wall. ex DC.","Native",0,0,1
"Bupleurum gracillimum","Klotzsch","Native",0,1,0
"Bupleurum hamiltonii","N.P.Balakr.","Native",1,0,1
"Bupleurum lanceolatum","Wall. ex DC.","Native",0,0,1
"Bupleurum longicaule","Wall. ex DC.","Native",0,0,1
"Bupleurum maddenii","C.B.Clarke","Native",0,0,1
"Bupleurum marginatum","Wall. ex DC.","Native",1,0,1
"Butea monosperma","(Lam.) Kuntze","Native",1,1,0
"Buxus wallichiana","Baill.","Native",0,0,1
"Caesalpinia pulcherrima","(L.) Sw.","Introduced",1,0,0
"Cajanus scarabaeoides","(L.) Thouars","Native",1,0,0
"Calamagrostis emodensis","Griseb.","Native",0,0,1
"Calamagrostis pseudophragmites","(Haller f.) Koeler","Native",0,0,1
"Calanthe tricarinata","Lindl.","Native",0,0,1
"Callicarpa macrophylla","Vahl","Native",1,0,0
"Calotropis gigantea","(L.) W.T.Aiton","Native",1,0,0
"Calotropis gigantea","(L.) W.T.Aiton",NA,0,1,0
"Calotropis procera","(Aiton) W.T.Aiton","Native",1,0,0
"Calotropis procera","(Aiton) W.T.Aiton",NA,0,0,1
"Caltha alba","Cambess.","Native",0,0,1
"Caltha palustris","L.","Native",0,0,1
"Calyptocarpus vialis","Less.","Introduced",1,0,0
"Campanula argyrotricha","Wall. ex A.DC.","Native",0,0,1
"Campanula dimorphantha","Schweinf.","Native",1,1,0
"Campanula latifolia","L.","Native",0,0,1
"Campanula pallida","Wall.","Native",0,0,1
"Campylotropis macrostyla","(D.Don) Lindl. ex Miq.","Native",0,1,0
"Canavalia gladiata","(Jacq.) DC.","Native",1,0,0
"Cannabis sativa","L.","Introduced",1,1,1
"Canscora perfoliata","Lam.","Native",1,0,0
"Capillipedium assimile","(Steud.) A.Camus","Native",0,1,0
"Capillipedium parviflorum","(R.Br.) Stapf","Native",1,1,0
"Capparis decidua","(Forssk.) Edgew.","Native",1,0,0
"Capparis sepiaria","L.","Native",1,0,0
"Capparis spinosa","L.","Native",0,1,0
"Capparis zeylanica","L.","Native",1,0,0
"Capsella bursa-pastoris","(L.) Medik.","Native",1,1,0
"Caragana brevispina","Benth.","Native",0,0,1
"Cardamine hirsuta","L.","Native",1,0,0
"Cardamine impatiens","L.","Native",1,0,0
"Cardamine macrophylla","Willd.","Native",0,0,1
"Cardamine scutata","Thunb.","Introduced",1,0,0
"Cardiocrinum giganteum","(Wall.) Makino","Native",0,0,1
"Cardiospermum halicacabum","L.","Native",1,0,0
"Carduus edelbergii","Rech.f.","Native",0,1,0
"Carex capillifolia","(Decne.) S.R.Zhang","Native",0,0,1
"Carex clavispica","S.R.Zhang","Native",0,0,1
"Carex filicina","Nees","Native",0,0,1
"Carex haematostoma","Nees","Native",0,0,1
"Carex hebecarpa","C.A.Mey.","Native",0,0,1
"Carex nivalis","Boott","Native",0,0,1
"Carex norvegica","Retz.","Native",0,0,1
"Carex nubigena","D.Don","Native",0,1,0
"Carex obscura","Nees","Native",0,0,1
"Carex parvula","O.Yano","Native",0,0,1
"Carex pseudolaxa","(C.B.Clarke) O.Yano & S.R.Zhang","Native",0,0,1
"Carex remota","L.","Native",0,0,1
"Carex unciniiformis","Boeckeler","Native",0,0,1
"Carex wallichiana","Spreng.","Native",0,0,1
"Carica papaya","L.","Introduced",1,0,0
"Carissa macrocarpa","(Eckl.) A.DC.",NA,1,0,0
"Carissa spinarum","L.","Native",1,1,0
"Carpesium abrotanoides","L.","Native",0,1,0
"Carpesium cernuum","L.","Native",0,1,1
"Carpinus viminea","Lindl. ex Wall.","Native",0,1,0
"Cascabela thevetia","(L.) Lippold","Introduced",1,0,0
"Casearia graveolens","Dalzell","Native",1,0,0
"Casearia tomentosa","Roxb.","Native",1,0,0
"Cassia fistula","L.","Native",1,1,0
"Cassine albens","(Retz.) Kosterm.","Native",1,0,0
"Cassiope fastigiata","(Wall.) D.Don","Native",0,0,1
"Castanopsis tribuloides","(Sm.) A.DC.","Native",0,1,0
"Catharanthus roseus","(L.) G.Don","Introduced",1,0,0
"Catharanthus roseus","(L.) G.Don",NA,0,1,0
"Catunaregam spinosa","(Thunb.) Tirveng.","Native",1,0,0
"Causonis trifolia","(L.) Mabb. & J.Wen","Native",1,0,0
"Cautleya spicata","(Sm.) Baker","Native",0,0,1
"Cayaponia laciniosa","(L.) C.Jeffrey",NA,1,0,0
"Cedrus deodara","(Roxb. ex D.Don) G.Don",NA,1,0,0
"Cedrus deodara","(Roxb. ex D.Don) G.Don","Native",0,1,1
"Celastrus paniculatus","Willd.","Native",1,0,0
"Celosia argentea","L.","Introduced",1,0,0
"Celtis australis","L.",NA,1,1,0
"Celtis tetrandra","Roxb.","Native",1,1,0
"Cenchrus americanus","(L.) Morrone","Introduced",1,1,0
"Cenchrus ciliaris","L.","Introduced",0,1,0
"Cenchrus setaceus","(Forssk.) Morrone",NA,1,0,0
"Cenchrus setigerus","Vahl","Native",1,0,0
"Centaurium pulchellum","(Sw.) Hayek ex Hand.-Mazz., Stadlm., Janch. & Faltis","Native",1,0,0
"Centella asiatica","(L.) Urb.","Native",1,0,0
"Cephalanthera longifolia","(L.) Fritsch","Native",0,0,1
"Ceriscoides turgida","(Roxb.) Tirveng.","Native",1,0,0
"Cestrum nocturnum","L.","Introduced",1,0,0
"Chaerophyllum reflexum","Lindl.","Native",0,0,1
"Chaerophyllum villosum","Wall. ex DC.","Native",0,0,1
"Chamaecrista absus","(L.) H.S.Irwin & Barneby","Native",1,0,0
"Chamaecrista mimosoides","(L.) Greene","Native",0,1,0
"Chamaecrista nomame","(Makino) H.Ohashi","Native",0,0,1
"Chenopodiastrum murale","(L.) S.Fuentes, Uotila & Borsch","Native",1,0,0
"Chenopodium album","L.","Native",1,1,1
"Chionanthus ramiflorus","Roxb.","Native",0,0,1
"Chloris barbata","Sw.","Native",1,0,0
"Chromolaena odorata","(L.) R.M.King & H.Rob.","Introduced",1,1,0
"Chrysojasminum humile","(L.) Banfi","Native",0,1,1
"Chrysopogon aciculatus","(Retz.) Trin.","Native",1,0,0
"Chrysopogon fulvus","(Spreng.) Chiov.","Native",1,1,0
"Chrysopogon serrulatus","Trin.","Native",0,0,1
"Cinnamomum tamala","(Buch.-Ham.) T.Nees & C.H.Eberm.","Native",0,0,1
"Circaea alpina","L.","Native",0,0,1
"Cirsium argyracanthum","DC.","Native",0,1,0
"Cirsium arvense","(L.) Scop.","Native",1,0,0
"Cirsium falconeri","(Hook.f.) Petr.","Native",0,0,1
"Cirsium wallichii","DC.","Native",1,1,0
"Cissampelos pareira","L.","Native",1,1,1
"Cissus repanda","(Wight & Arn.) Vahl","Native",1,0,0
"Clematis barbellata","Edgew.","Native",0,0,1
"Clematis buchananiana","DC.","Native",1,1,1
"Clematis gouriana","Roxb. ex DC.","Native",1,0,0
"Clematis grata","Wall.","Native",0,1,0
"Clematis montana","Buch.-Ham. ex DC.","Native",0,1,1
"Cleome viscosa","L.","Native",1,0,0
"Clerodendrum indicum","(L.) Kuntze","Native",1,0,0
"Clerodendrum phlomidis","L.f.","Native",1,0,0
"Clintonia udensis","Trautv. & C.A.Mey.","Native",0,0,1
"Clitoria ternatea","L.","Introduced",1,0,0
"Coccinia grandis","(L.) Voigt","Native",1,0,0
"Cocculus hirsutus","(L.) W.Theob.","Native",1,0,0
"Cocculus laurifolius","DC.","Native",1,0,1
"Cochlospermum religiosum","(L.) Alston","Native",1,0,0
"Codonopsis viridis","Wall.","Native",0,0,1
"Colebrookea oppositifolia","Sm.","Native",1,1,1
"Colocasia esculenta","(L.) Schott","Native",1,0,0
"Comastoma tenellum","(Rottb.) Toyok.","Native",0,0,1
"Combretum indicum","(L.) DeFilipps","Native",1,0,0
"Commelina benghalensis","L.","Native",1,1,1
"Commelina paludosa","Blume","Native",0,1,0
"Commicarpus chinensis","(L.) Heimerl","Native",1,0,0
"Coniogramme affinis","Hieron.","Native",0,1,0
"Convolvulus arvensis","L.","Native",1,0,0
"Convolvulus prostratus","Forssk.","Native",1,0,0
"Corchorus aestuans","L.","Native",1,0,0
"Corchorus olitorius","L.","Native",1,0,0
"Cordia dichotoma","G.Forst.","Native",1,0,0
"Cordia macleodii","(Griff.) Hook.f. & Thomson","Native",1,0,0
"Cordia myxa","L.",NA,0,0,1
"Cordia vestita","(A.DC.) Hook.f. & Thomson","Native",1,0,0
"Cordiofontis flexuosa","(Royle ex Lindl.) G.L.Nesom","Native",0,1,1
"Cordiofontis peduncularis","(Wall. ex Nees) G.L.Nesom","Native",0,0,1
"Coriaria napalensis","Wall.","Native",1,0,1
"Coriaria nepalensis","Wall.","Native",0,1,0
"Cornus capitata","Wall.","Native",0,1,0
"Cornus macrophylla","Wall.","Native",0,0,1
"Corydalis govaniana","Wall.","Native",0,0,1
"Corydalis thyrsiflora","Prain","Native",0,0,1
"Corydalis vaginans","Royle","Native",0,0,1
"Corylus jacquemontii","Decne.","Native",0,0,1
"Corymbia citriodora","(Hook.) K.D.Hill & L.A.S.Johnson","Introduced",1,0,0
"Cotinus coggygria","Scop.","Native",0,1,0
"Cotoneaster acuminatus","Lindl.","Native",0,0,1
"Cotoneaster affinis","Lindl.","Native",0,1,1
"Cotoneaster hedegaardii","J.Fryer & B.Hylmö","Native",0,0,1
"Cotoneaster integrifolius","(Roxb.) G.Klotz","Native",0,0,1
"Cotoneaster microphyllus","Wall. ex Lindl.","Native",0,1,1
"Cotoneaster roseus","Edgew.","Native",0,0,1
