"powo_taxa","powo_author","powo_dist","Morni","Chail","Churdhar"
"Oldenlandia corymbosa","L.","Native",1,0,0
"Onychium lucidum","(D.Don) Spreng.","Native",0,1,0
"Operculina turpethum","(L.) Silva Manso","Native",1,0,0
"Ophiopogon intermedius","D.Don","Native",0,0,1
"Oplismenus burmanni","(Retz.) P.Beauv.","Native",0,1,0
"Oplismenus compositus","(L.) P.Beauv.","Native",1,0,0
"Oplismenus undulatifolius","(Ard.) P.Beauv.","Native",1,0,1
"Opuntia dillenii","(Ker Gawl.) Haw.","Introduced",0,1,0
"Opuntia elatior","Mill.","Introduced",1,0,0
"Oreoseris gossypina","(Royle) X.D.Xu & V.A.Funk","Native",0,1,1
"Oreoseris nivea","DC.","Native",0,0,1
"Origanum vulgare","L.","Native",0,1,1
"Orobanche alba","Stephan ex Willd.","Native",1,1,1
"Oroxylum indicum","(L.) Kurz","Native",1,0,1
"Osmunda pilosa","Wall. ex Grev. & Hook.","Native",0,1,0
"Osyris lanceolata","Hochst. & Steud.","Native",0,1,0
"Ototropis multiflora","(DC.) H.Ohashi & K.Ohashi","Native",0,1,0
"Ougeinia oojeinensis","(Roxb.) Hochr.","Native",1,1,0
"Ouret sanguinolenta","(L.) Kuntze","Native",1,1,0
"Oxalis corniculata","L.","Introduced",1,1,0
"Oxalis debilis","Kunth","Introduced",0,1,0
"Oxalis dehradunensis","Raizada","Introduced",1,0,0
"Oxalis dehradunensis","Raizada",NA,0,1,0
"Oxyria digyna","(L.) Hill","Native",0,1,1
"Pachystoma pubescens","Blume","Native",1,0,0
"Papaver dubium","L.","Native",0,0,1
"Paris polyphylla","Sm.","Native",0,0,1
"Parnassia nubicola","Wall. ex Royle","Native",0,1,0
"Parthenium hysterophorus","L.","Introduced",1,1,0
"Parthenocissus semicordata","(Wall.) Planch.","Native",0,1,1
"Pecteilis susannae","(L.) Raf.",NA,0,1,0
"Pedicularis bicornuta","Klotzsch","Native",0,0,1
"Pedicularis bifida","(Buch.-Ham. ex D.Don) Pennell","Native",0,1,0
"Pedicularis gracilis","Wall. ex Benth.","Native",0,0,1
"Pedicularis hoffmeisteri","Klotzsch","Native",0,0,1
"Pedicularis longiflora","Rudolph","Native",0,0,1
"Pedicularis pectinata","Wall. ex Benth.","Native",0,0,1
"Pedicularis punctata","Decne.","Native",0,0,1
"Pedicularis pyramidata","Royle ex Benth.","Native",0,0,1
"Pedicularis siphonantha","D.Don","Native",0,0,1
"Pentanema divaricatum","Cass.","Native",1,0,0
"Pergularia daemia","(Forssk.) Chiov.","Native",1,0,0
"Persicaria barbata","(L.) H.Hara","Native",1,0,0
"Persicaria capitata","(Buch.-Ham. ex D.Don) H.Gross","Native",0,1,1
"Persicaria hydropiper","(L.) Delarbre","Native",0,1,0
"Persicaria nepalensis","(Meisn.) H.Gross","Native",0,0,1
"Persicaria posumbu","(Buch.-Ham. ex D.Don) H.Gross","Native",0,0,1
"Persicaria pubescens","(Blume) H.Hara","Native",0,1,0
"Phacelurus speciosus","(Steud.) C.E.Hubb.","Native",0,0,1
"Phalaris minor","Retz.","Native",1,0,0
"Phanera roxburghiana","(Voigt) Bandyop., Anand Kumar & Chakrab.","Native",1,0,0
"Phanera vahlii","(Wight & Arn.) Benth.","Native",1,1,0
"Phleum alpinum","L.","Native",0,0,1
"Phleum himalaicum","Mez","Native",0,0,1
"Phlogacanthus thyrsiformis","(Roxb. ex Hardw.) Mabb.","Native",1,0,0
"Phlomoides bracteosa","(Royle ex Benth.) Kamelin & Makhm.","Native",0,1,1
"Phlomoides macrophylla","(Benth.) Kamelin & Makhm.","Native",0,0,1
"Phoenix acaulis","Roxb.","Native",1,0,0
"Phoenix sylvestris","(L.) Roxb.","Native",1,0,0
"Phragmites karka","(Retz.) Trin. ex Steud.","Native",1,0,0
"Phyllanthus emblica","L.","Native",1,1,0
"Phyllanthus fraternus","G.L.Webster","Native",1,0,0
"Phyllanthus reticulatus","Poir.","Native",1,0,0
"Phyllanthus urinaria","L.","Native",1,0,0
"Phyllodium pulchellum","(L.) Desv.","Native",1,0,0
"Physalis angulata","L.","Introduced",1,0,0
"Physalis grisea","(Waterf.) M.Martínez",NA,1,0,0
"Physalis pruinosa","L.","Introduced",1,0,0
"Phytolacca acinosa","Roxb.","Native",0,0,1
"Picea smithiana","(Wall.) Boiss.","Native",0,1,1
"Picrorhiza kurroa","Royle ex Benth.","Native",0,0,1
"Pilea scripta","(Buch.-Ham. ex D.Don) Wedd.","Native",0,1,0
"Pilea umbrosa","Wedd. ex Blume","Native",0,0,1
"Pimpinella diversifolia","DC.","Native",0,0,1
"Pinus roxburghii","Sarg.","Native",1,1,1
"Pinus wallichiana","A.B.Jacks.","Native",0,1,1
"Piptanthus nepalensis","(Hook.) Sweet","Native",0,0,1
"Pistacia chinensis","Bunge","Native",1,1,0
"Pistacia khinjuk","Stocks","Native",1,0,0
"Pithecellobium dulce","(Roxb.) Benth.","Introduced",1,0,0
"Plantago depressa","Willd.","Native",0,1,1
"Plantago lanceolata","L.","Native",0,1,0
"Pleurolobus gangeticus","(L.) J.St.-Hil. ex H.Ohashi & K.Ohashi","Native",1,0,0
"Plumbago zeylanica","L.","Native",1,0,0
"Poa alpina","L.","Native",0,0,1
"Poa annua","L.","Native",1,0,0
"Poa nemoralis","L.","Native",0,1,1
"Poa stapfiana","Bor","Native",0,0,1
"Podophyllum hexandrum","Royle","Native",0,0,1
"Pogostemon benghalensis","(Burm.f.) Kuntze","Native",1,0,0
"Polemonium caeruleum","L.","Native",0,0,1
"Polygala abyssinica","R.Br. ex Fresen.","Native",0,0,1
"Polygala arvensis","Willd.","Native",1,0,0
"Polygala crotalarioides","Buch.-Ham. ex DC.","Native",0,0,1
"Polygala erioptera","DC.","Native",1,0,0
"Polygala persicariifolia","DC.","Native",1,0,0
"Polygala tatarinowii","Regel","Native",0,1,0
"Polygonatum cirrhifolium","(Wall.) Royle","Native",0,0,1
"Polygonatum geminiflorum","Decne.","Native",0,0,1
"Polygonatum verticillatum","(L.) All.","Native",0,0,1
"Polygonum aviculare","L.","Native",0,0,1
"Polygonum effusum","Meisn.","Native",0,0,1
"Polygonum paronychioides","C.A.Mey.","Native",0,0,1
"Polygonum plebeium","R.Br.","Native",1,0,0
"Polypogon monspeliensis","(L.) Desf.","Native",1,0,0
"Polystichum aculeatum","(L.) Roth","Native",0,0,1
"Polystichum neolobatum","Nakai","Native",0,1,0
"Polystichum squarrosum","(D.Don) Fée","Native",0,1,0
"Pongamia pinnata","(L.) Pierre","Native",1,0,0
"Populus ciliata","Wall. ex Royle","Native",0,1,0
"Poranopsis paniculata","(Roxb.) Roberty","Native",1,0,0
"Portulaca oleracea","L.","Introduced",1,0,0
"Potentilla atrosanguinea","G.Lodd.","Native",0,0,1
"Potentilla crantzii","(Crantz) Beck ex Fritsch","Native",0,0,1
"Potentilla eriocarpa","Wall. ex Lehm.","Native",0,0,1
"Potentilla gerardiana","Lindl. ex Lehm.","Native",0,0,1
"Potentilla indica","(Andrews) Th.Wolf","Native",1,1,1
"Potentilla nepalensis","Hook.","Native",0,0,1
"Potentilla saundersiana","Royle","Native",0,0,1
"Potentilla sundaica","(Blume) W.Theob.","Native",0,1,0
"Potentilla supina","L.","Native",0,0,1
"Pouzolzia rugulosa","(Wedd.) Acharya & Kravtsova","Native",1,0,0
"Pouzolzia sanguinea","(Blume) Merr.",NA,0,0,1
"Primula atrodentata","W.W.Sm.",NA,0,0,1
"Primula denticulata","Sm.","Native",0,1,1
"Primula glomerata","Pax",NA,0,0,1
"Primula matthioli","(L.) V.A.Richt.","Native",0,0,1
"Primula munroi","Lindl.","Native",0,0,1
"Primula petiolaris","Wall.","Native",0,0,1
"Primula reidii","Duthie","Native",0,0,1
"Prinsepia utilis","Royle","Native",0,1,1
"Prosopis chilensis","(Molina) Stuntz","Introduced",1,0,0
"Prosopis cineraria","(L.) Druce","Native",1,0,0
"Prosopis juliflora","(Sw.) DC.","Introduced",1,0,0
"Prunella vulgaris","L.","Native",0,0,1
"Prunus cerasoides","Buch.-Ham. ex D.Don","Native",0,1,1
"Prunus cornuta","(Wall. ex Royle) Steud.","Native",0,0,1
"Pseudocaryopteris bicolor","(Roxb. ex Hardw.) P.D.Cantino","Native",1,0,0
"Pseudoconyza viscosa","(Mill.) D'Arcy","Native",1,0,0
"Pseudognaphalium hypoleucum","(DC.) Hilliard & B.L.Burtt","Native",0,1,1
"Pseudognaphalium luteoalbum","(L.) Hilliard & B.L.Burtt","Native",1,0,1
"Psidium guajava","L.","Introduced",1,0,0
"Pteridium revolutum","(Blume) Nakai","Native",0,1,0
"Pteris cretica","L.","Native",0,1,0
"Pteris dactylina","Hook.","Native",0,1,0
"Pueraria tuberosa","(Roxb. ex Willd.) DC.","Native",1,1,0
"Punica granatum","L.","Introduced",1,1,0
"Pupalia lappacea","(L.) Juss.","Native",1,0,0
"Putranjiva roxburghii","Wall.","Native",1,0,0
"Pyracantha crenulata","(D.Don) M.Roem.","Native",0,1,1
"Pyrostegia venusta","(Ker Gawl.) Miers","Introduced",1,0,0
"Pyrus pashia","Buch.-Ham. ex D.Don","Native",1,1,1
"Quercus floribunda","Lindl. ex A.Camus","Native",0,1,1
"Quercus glauca","Thunb.","Native",0,1,1
"Quercus lanata","Sm.","Native",0,1,0
"Quercus leucotrichophora","A.Camus","Native",0,1,1
"Quercus semecarpifolia","Sm.","Native",0,0,1
"Ranunculus adoxifolius","Hand.-Mazz.","Native",0,0,1
"Ranunculus arvensis","L.","Native",1,0,0
"Ranunculus diffusus","DC.","Native",0,1,1
"Ranunculus distans","D.Don","Native",0,0,1
"Ranunculus hirtellus","Royle","Native",0,1,1
"Ranunculus pulchellus","Ledeb. ex Spreng.","Native",0,0,1
"Ranunculus sceleratus","L.","Native",1,0,1
"Ranunculus trichophyllus","Chaix","Native",0,0,1
"Raphanus raphanistrum","L.","Introduced",0,1,0
"Rauvolfia serpentina","(L.) Benth. ex Kurz","Native",1,0,0
"Reinwardtia indica","Dumort.","Native",1,1,0
"Remusatia pumila","(D.Don) H.Li & A.Hay","Native",0,1,1
"Remusatia vivipara","(Roxb.) Schott","Native",1,0,0
"Rhamnus procumbens","Edgew.",NA,0,0,1
"Rhamnus purpurea","Edgew.","Native",0,1,1
"Rhamnus triquetra","(Wall.) Brandis","Native",1,0,0
"Rhamnus virgata","Roxb.","Native",0,0,1
"Rheum moorcroftianum","Royle","Native",0,0,1
"Rheum webbianum","Royle","Native",0,0,1
"Rhodiola fastigiata","(Hook.f. & Thomson) S.H.Fu","Native",0,0,1
"Rhodiola heterodonta","(Hook.f. & Thomson) Boriss.","Native",0,0,1
"Rhodiola himalensis","(D.Don) S.H.Fu","Native",0,0,1
"Rhodiola sinuata","(Royle ex Edgew.) S.H.Fu","Native",0,1,1
"Rhodiola tibetica","(Hook.f. & Thomson) S.H.Fu","Native",0,0,1
"Rhodiola wallichiana","(Hook.) S.H.Fu","Native",0,0,1
"Rhododendron anthopogon","D.Don","Native",0,0,1
"Rhododendron arboreum","Sm.","Native",0,1,1
"Rhododendron barbatum","Wall. ex G.Don","Native",0,0,1
"Rhododendron campanulatum","D.Don","Native",0,0,1
"Rhododendron lepidotum","Wall. ex G.Don","Native",0,0,1
"Rhus chinensis","Mill.","Native",0,1,1
"Rhynchosia minima","(L.) DC.","Native",1,0,0
"Rhynchosia rothii","Benth. ex Aitch.","Native",0,1,0
"Ribes alpestre","Wall. ex Decne.","Native",0,0,1
"Ribes glaciale","Wall.","Native",0,0,1
"Ribes himalense","Royle ex Decne.","Native",0,0,1
"Ribes orientale","Desf.","Native",0,0,1
"Ricinus communis","L.","Introduced",1,1,0
"Robinia pseudoacacia","L.","Introduced",0,1,0
"Rosa brunonii","Lindl.","Native",0,1,1
"Rosa macrophylla","Lindl.","Native",0,1,1
"Rosa moschata","Herrm.","Introduced",1,1,0
"Rosa sericea","Lindl.","Native",0,0,1
"Roscoea alpina","Royle","Native",0,0,1
"Roscoea purpurea","Sm.","Native",0,1,1
"Rostellularia mollissima","(Nees) Nees","Native",1,1,1
"Rostellularia procumbens","(L.) Nees","Native",0,1,0
"Rostellularia quinqueangularis","(J.Koenig ex Roxb.) Nees","Native",1,0,0
"Rosularia adenotricha","(Wall. ex Edgew.) C.-A.Jansson","Native",0,0,1
"Rosularia rosulata","(Edgew.) H.Ohba","Native",0,0,1
"Rotala rotundifolia","(Buch.-Ham. ex Roxb.) Koehne","Native",0,0,1
"Roylea cinerea","(D.Don) Baill.","Native",1,0,0
"Rubia cordifolia","L.","Native",0,1,0
"Rubus biflorus","Buch.-Ham. ex Sm.","Native",0,1,0
"Rubus ellipticus","Sm.","Native",1,1,1
"Rubus niveus","Thunb.","Native",0,1,1
"Rubus paniculatus","Sm.","Native",0,1,1
"Ruellia prostrata","Poir.","Native",1,0,0
"Rumex acetosa","L.","Native",0,0,1
"Rumex chalepensis","Mill.","Native",0,0,1
"Rumex dentatus","L.","Native",1,1,0
"Rumex hastatus","D.Don","Native",1,1,1
"Rumex nepalensis","Spreng.","Native",0,1,1
"Rungia pectinata","(L.) Nees","Native",1,0,0
"Russelia equisetiformis","Schltdl. & Cham.","Introduced",1,0,0
"Saccharum spontaneum","L.","Native",1,0,1
"Salix alba","L.","Introduced",0,0,1
"Salix denticulata","Andersson","Native",0,0,1
"Salix flabellaris","Andersson","Native",0,0,1
"Salix lindleyana","Wall. ex Andersson","Native",0,0,1
"Salix tetrasperma","Roxb.",NA,0,1,0
"Salvia cana","Wall. ex Benth.","Native",0,1,1
"Salvia coccinea","Buc'hoz ex Etl.",NA,0,1,0
"Salvia glutinosa","L.",NA,0,1,0
"Salvia nubicola","Wall. ex Sweet","Native",0,1,0
"Salvia plebeia","R.Br.","Native",1,0,0
"Salvia strobilifera","(Benth.) J.G.González","Native",0,1,1
"Santalum album","L.","Introduced",1,0,0
"Sapindus emarginatus","Vahl","Native",1,0,0
"Sapindus mukorossi","Gaertn.","Native",1,0,0
"Sarcococca coriacea","(Hook.) Sweet","Native",0,1,0
"Sarcococca saligna","(D.Don) Müll.Arg.","Native",0,1,1
"Satyrium nepalense","D.Don","Native",0,1,1
"Sauromatum venosum","(Dryand. ex Aiton) Kunth","Native",1,0,0
"Saussurea candolleana","(DC.) Sch.Bip.","Native",0,0,1
"Saussurea piptathera","Edgew.","Native",0,0,1
"Saussurea taraxacifolia","(Lindl. ex Royle) Wall. ex DC.","Native",0,0,1
"Saxifraga brachypoda","D.Don","Native",0,0,1
"Saxifraga brunonis","Wall. ex Ser.","Native",0,0,1
"Saxifraga diversifolia","Wall. ex Ser.","Native",0,1,0
"Saxifraga moorcroftiana","(Ser.) Wall. ex Sternb.","Native",0,0,1
"Saxifraga mucronulata","Royle","Native",0,0,1
"Saxifraga parnassifolia","D.Don","Native",0,0,1
"Saxifraga sibirica","L.","Native",0,0,1
"Schisandra grandiflora","(Wall.) Hook.f. & Thomson","Native",0,0,1
"Schizotechium monospermum","(Buch.-Ham. ex D.Don) Pusalkar & S.K.Srivast.","Native",0,1,1
"Schleichera oleosa","(Lour.) Oken","Native",1,0,0
"Schoenoplectiella erecta","(Poir.) Lye","Native",1,0,0
"Schoenoplectiella juncoides","(Roxb.) Lye","Native",0,0,1
"Schoenoplectus lacustris","(L.) Palla","Native",1,0,0
"Scoparia dulcis","L.","Introduced",1,0,0
"Scurrula cordifolia","(Wall.) G.Don","Native",1,1,1
"Scutellaria grossa","Wall.","Native",0,1,0
"Scutellaria repens","Buch.-Ham. ex D.Don","Native",1,1,0
"Scutellaria scandens","D.Don","Native",0,0,1
"Scutellaria violacea","B.Heyne ex Benth.","Native",1,0,0
"Searsia parviflora","(Roxb.) F.A.Barkley","Native",1,1,1
"Sehima notata","(Hack.) A.Camus","Native",0,1,0
"Selinum vaginatum","(Edgew.) C.B.Clarke","Native",0,0,1
"Senegalia caesia","(L.) Maslin, Seigler & Ebinger","Native",1,0,0
"Senegalia catechu","(L.f.) P.J.H.Hurter & Mabb.","Native",1,1,0
"Senegalia modesta","(Wall.) P.J.H.Hurter","Native",1,0,0
"Senegalia pennata","(L.) Maslin","Native",1,0,0
"Senegalia torta","(Roxb.) Maslin, Seigler & Ebinger","Native",1,0,0
"Senna auriculata","(L.) Roxb.","Native",1,0,0
"Senna didymobotrya","(Fresen.) H.S.Irwin & Barneby","Introduced",1,0,0
"Senna occidentalis","(L.) Link","Introduced",1,0,0
"Senna polyphylla","(Jacq.) H.S.Irwin & Barneby",NA,1,0,0
"Senna septemtrionalis","(Viv.) H.S.Irwin & Barneby","Introduced",1,1,0
"Senna siamea","(Lam.) H.S.Irwin & Barneby","Introduced",1,0,0
"Senna sulfurea","(DC. ex Collad.) H.S.Irwin & Barneby","Native",1,0,0
"Senna tora","(L.) Roxb.","Introduced",1,0,0
"Sesamum indicum","L.","Native",1,0,0
"Seseli libanotis","(L.) W.D.J.Koch",NA,0,0,1
"Setaria flavida","(Retz.) Veldkamp","Native",1,0,0
"Setaria intermedia","Roem. & Schult.","Native",1,0,0
"Setaria palmifolia","(J.Koenig) Stapf","Native",1,0,1
"Setaria pumila","(Poir.) Roem. & Schult.","Native",0,0,1
"Setaria verticillata","(L.) P.Beauv.","Native",1,0,0
"Setaria viridis","(L.) P.Beauv.","Native",0,1,0
"Shorea robusta","C.F.Gaertn.","Native",1,1,0
"Shuteria involucrata","(Wall.) Wight & Arn. ex Walp.","Native",1,0,0
"Shuteria vestita","Wight & Arn.","Native",1,0,0
"Sibbaldia cuneata","Edgew.","Native",0,0,1
"Sibirotrisetum aeneum","(Hook.f.) Barberá","Native",0,0,1
"Sida acuta","Burm.f.","Native",1,0,0
"Sida cordata","(Burm.f.) Borss.Waalk.","Native",1,0,0
"Sida cordifolia","L.","Native",1,0,0
"Sida rhombifolia","L.","Native",1,0,0
"Sigesbeckia orientalis","L.","Native",1,1,0
"Silene conoidea","L.","Native",1,0,0
"Silene edgeworthii","Bocquet","Native",0,1,1
"Silene indica","Roxb. ex Otth","Native",0,0,1
"Silene laxantha","Majumdar","Native",0,0,1
"Silene setaesperma","Majumdar","Native",0,0,1
"Silene viscosa","(L.) Pers.","Native",0,0,1
"Silene vulgaris","(Moench) Garcke","Native",0,0,1
"Sisymbrium irio","L.","Native",1,1,0
"Skimmia laureola","(DC.) Decne.","Native",0,0,1
"Smilax aspera","L.","Native",0,1,0
"Smilax elegans","Wall. ex Kunth","Native",0,1,1
"Smilax vaginata","Decne.","Native",0,0,1
"Smilax zeylanica","L.","Native",1,0,0
"Smithia ciliata","Royle","Native",1,0,0
"Sohmaea laxiflora","(DC.) H.Ohashi & K.Ohashi","Native",1,0,0
"Solanum americanum","Mill.","Introduced",1,0,0
"Solanum capsicoides","All.",NA,1,0,0
"Solanum erianthum","D.Don","Introduced",1,0,0
"Solanum incanum","L.","Native",1,0,0
"Solanum incanum","L.",NA,0,1,0
"Solanum insanum","L.","Native",1,0,0
"Solanum nigrum","L.","Native",1,1,1
"Solanum pseudocapsicum","L.","Introduced",0,1,1
"Solanum viarum","Dunal","Introduced",1,0,0
"Solanum violaceum","Ortega","Native",1,0,0
"Solanum virginianum","L.","Native",1,1,1
"Solena amplexicaulis","(Lam.) Gandhi","Native",1,0,0
"Solena amplexicaulis","(Lam.) Gandhi",NA,0,0,1
"Solena heterophylla","Lour.","Native",1,0,0
"Solidago virgaurea","L.","Native",0,0,1
"Sonchus asper","(L.) Hill","Native",1,1,0
"Sonchus brachyotus","DC.","Native",1,0,0
"Sonchus oleraceus","L.","Introduced",1,0,0
"Sonchus wightianus","DC.","Native",0,1,0
"Sophora mollis","(Royle) Graham ex Baker","Native",0,0,1
"Sopubia trifida","Buch.-Ham. ex D.Don","Native",0,1,0
"Sorbaria tomentosa","(Lindl.) Rehder","Native",0,0,1
"Sorbus foliolosa","(Wall.) Spach","Native",0,0,1
"Sorbus microphylla","(Wall. ex Hook.f.) Wenz.","Native",0,0,1
"Sorghum halepense","(L.) Pers.","Native",1,0,0
"Spergula arvensis","L.","Native",1,0,0
"Spermacoce articularis","L.f.","Native",1,0,0
"Spermacoce pusilla","Wall.","Native",1,0,0
"Spermacoce verticillata","L.","Native",1,0,0
"Spermadictyon suaveolens","Roxb.","Native",1,0,0
"Sphaeranthus indicus","L.","Native",1,0,0
"Spiraea canescens","D.Don","Native",0,0,1
"Spiraea cantoniensis","Lour.",NA,1,0,0
"Spiraea vacciniifolia","D.Don","Native",0,1,0
"Spiranthes australis","(R.Br.) Lindl.","Native",0,0,1
"Spiranthes spiralis","(L.) Chevall.","Native",0,0,1
"Spondias pinnata","(L.f.) Kurz","Native",1,0,0
"Sporobolus diandrus","(Retz.) P.Beauv.","Native",1,0,0
"Sporobolus fertilis","(Steud.) Clayton","Native",0,1,0
"Stachys splendens","Wall. ex Benth.","Native",0,0,1
"Staphylea emodi","Wall. ex Brandis","Native",0,0,1
"Stellaria aquatica","(L.) Scop.","Native",0,0,1
"Stellaria media","(L.) Vill.","Native",1,1,1
"Stephania japonica","(Thunb.) Miers","Native",1,0,0
"Stephania rotunda","Lour.","Native",1,0,0
"Sterculia villosa","Roxb. ex Sm.","Native",1,0,0
"Stereospermum chelonoides","(L.f.) DC.","Native",1,0,0
"Streblus asper","Lour.","Native",1,0,1
"Strobilanthes atropurpurea","Nees","Native",0,1,1
"Strobilanthes attenuata","(Wall. ex Nees) Jacq. ex Nees","Native",0,0,1
"Strobilanthes hirta","(Vahl) Blume","Native",1,0,0
"Strobilanthes parvifolia","J.R.I.Wood",NA,1,0,0
"Strobilanthes pavala","(Roxb.) J.R.I.Wood","Native",1,0,0
"Strobilanthes pentastemonoides","(Nees) T.Anderson","Native",0,1,0
"Strobilanthes tomentosa","(Nees) J.R.I.Wood","Native",1,1,0
"Strobilanthes wallichii","Nees","Native",0,1,1
"Sunhangia elegans","(DC.) H.Ohashi & K.Ohashi","Native",0,1,1
"Swertia alata","(D.Don ex G.Don) Royle ex C.B.Clarke","Native",0,1,0
"Swertia alternifolia","Royle","Native",0,0,1
"Swertia angustifolia","Buch.-Ham. ex D.Don","Native",1,1,0
"Swertia chirayita","(Roxb.) H.Karst.","Native",0,0,1
"Swertia cordata","(G.Don) Wall. ex C.B.Clarke","Native",1,1,1
"Swertia cuneata","D.Don","Native",0,0,1
"Swertia paniculata","Wall.","Native",0,1,1
"Swertia purpurascens","(D.Don) C.B.Clarke","Native",0,0,1
"Swertia racemosa","(Griseb.) Wall. ex C.B.Clarke",NA,0,0,1
"Swertia speciosa","D.Don","Native",0,0,1
"Swertia tetragona","Edgew.","Native",0,0,1
"Symplocos paniculata","(Thunb.) Miq.","Native",0,1,0
"Synotis alata","(Wall. ex DC.) C.Jeffrey & Y.L.Chen","Native",0,0,1
"Synotis cappa","(Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen","Native",0,0,1
"Synotis kunthiana","(Wall. ex DC.) C.Jeffrey & Y.L.Chen","Native",0,0,1
"Synotis rufinervis","(DC.) C.Jeffrey & Y.L.Chen","Native",0,0,1
"Syringa emodi","Wall. ex Royle","Native",0,0,1
"Syzygium cumini","(L.) Skeels","Native",1,1,0
"Tabernaemontana divaricata","(L.) R.Br. ex Roem. & Schult.","Native",1,0,0
"Tagetes erecta","L.",NA,0,1,0
"Tagetes minuta","L.","Introduced",1,1,1
"Tamarindus indica","L.","Introduced",1,0,0
"Taraxacum campylodes","G.E.Haglund","Introduced",1,0,0
"Taraxacum campylodes","G.E.Haglund",NA,0,1,0
"Taraxacum officinale","F.H.Wigg.","Introduced",0,1,1
"Taverniera cuneifolia","(Roth) Arn.","Native",1,0,0
"Taxus wallichiana","Zucc.","Native",0,1,1
"Tectona grandis","L.f.","Native",1,0,0
"Tephrosia purpurea","(L.) Pers.","Native",1,0,1
"Tephrosia strigosa","(Dalzell) Santapau & Maheshw.","Native",1,0,0
"Terminalia anogeissiana","Gere & Boatwr.","Native",1,1,0
"Terminalia arjuna","(Roxb. ex DC.) Wight & Arn.","Native",1,0,0
"Terminalia bellirica","(Gaertn.) Roxb.","Native",1,1,0
"Terminalia catappa","L.","Native",1,0,0
"Terminalia chebula","Retz.","Native",1,1,0
"Terminalia elliptica","Willd.","Native",1,1,0
"Terminalia pendula","(Edgew.) Gere & Boatwr.","Native",1,0,0
"Tetrastigma serrulatum","(Roxb.) Planch.","Native",0,0,1
"Teucrium quadrifarium","Buch.-Ham. ex D.Don","Native",1,1,0
"Thalictrum alpinum","L.","Native",0,0,1
"Thalictrum cultratum","Wall.","Native",0,0,1
"Thalictrum foetidum","L.","Native",0,1,0
"Thalictrum foliolosum","DC.","Native",1,1,1
"Thalictrum javanicum","Blume","Native",1,0,0
"Thalictrum minus","L.","Native",0,0,1
"Thalictrum pedunculatum","Edgew.","Native",0,0,1
"Thalictrum reniforme","Wall.","Native",0,0,1
"Thamnocalamus spathiflorus","(Trin.) Munro","Native",0,0,1
"Themeda anathera","(Nees ex Steud.) Hack.","Native",0,1,0
"Theropogon pallidus","(Wall. ex Kunth) Maxim.","Native",0,1,0
"Thlaspi arvense","L.","Native",0,0,1
"Thymus linearis","Benth.","Native",0,0,1
"Thymus mongolicus","(Ronniger) Ronniger",NA,0,1,0
"Tinospora cordifolia","(Willd.) Hook.f. & Thomson","Native",1,0,0
"Tinospora cordifolia","(Willd.) Hook.f. & Thomson",NA,0,1,0
"Toona ciliata","M.Roem.","Native",1,0,0
"Toona ciliata","M.Roem.",NA,0,1,1
"Toona sinensis","(A.Juss.) M.Roem.",NA,1,1,1
"Torenia cordifolia","Roxb.","Native",1,0,0
"Toxicodendron wallichii","(Hook.f.) Kuntze","Native",0,1,1
"Trema orientale","(L.) Blume","Native",1,0,0
"Trema politoria","(Planch.) Blume","Native",1,0,0
"Tribulus terrestris","L.","Native",1,0,0
"Trichodesma indicum","(L.) Sm.","Native",1,0,0
"Tricholepis elongata","DC.","Native",1,0,0
"Trichosanthes cucumerina","L.","Native",1,0,0
"Tridax procumbens","L.","Introduced",1,1,0
"Tridax procumbens","L.",NA,0,0,1
"Trifolium dubium","Sibth.","Introduced",1,0,1
"Trifolium pratense","L.","Native",0,0,1
"Trifolium repens","L.","Native",0,1,0
"Trigastrotheca pentaphylla","(L.) Thulin","Native",1,0,0
"Trigonella balansae","Boiss. & Reut.","Introduced",1,0,0
"Trigonella emodi","Benth.","Native",0,0,1
"Trigonella gracilis","Benth.","Native",0,0,1
"Trillium govanianum","Wall. ex D.Don","Native",0,0,1
"Tripidium bengalense","(Retz.) H.Scholz","Native",1,0,0
"Tripidium ravennae","(L.) H.Scholz","Native",1,0,0
"Tripidium rufipilum","(Steud.) Welker, Voronts. & E.A.Kellogg","Native",0,0,1
"Trisetum clarkei","(Hook.f.) R.R.Stewart","Native",0,0,1
"Triumfetta rhomboidea","Jacq.","Native",1,0,0
"Trollius acaulis","Lindl.","Native",0,0,1
"Typha elephantina","Roxb.","Native",1,0,0
"Ulmus villosa","Brandis ex Gamble","Native",0,1,0
"Uraria picta","(Jacq.) Desv. ex DC.","Native",1,0,0
"Urena lobata","L.","Native",1,0,0
"Urochloa distachyos","(L.) T.Q.Nguyen","Native",1,0,0
"Urochloa panicoides","P.Beauv.","Native",0,1,0
"Urochloa ramosa","(L.) T.Q.Nguyen","Native",1,0,0
"Urochloa villosa","(Lam.) T.Q.Nguyen","Native",0,0,1
"Urtica ardens","Link","Native",0,1,1
"Urtica dioica","L.","Native",1,1,1
"Vachellia farnesiana","(L.) Wight & Arn.","Introduced",1,0,0
"Vachellia leucophloea","(Roxb.) Maslin, Seigler & Ebinger","Native",1,0,0
"Vachellia nilotica","(L.) P.J.H.Hurter & Mabb.","Native",1,0,0
"Valeriana hardwickei","Wall.","Native",0,0,1
"Valeriana jatamansi","Jones ex Roxb.","Native",0,1,1
