given_name,POWOAccepted,POWODist,Champion1968,Choudhary2007,Choudhary2012,eFI2022,FOI2022,Gupta1998,Radha2019,Subramani2014,Thakur2021a
Cocculus laurifolius DC.,Cocculus laurifolius DC.,Native,0,0,0,1,0,0,0,0,0
Codonopsis viridis Wall.,Codonopsis viridis Wall.,Native,0,0,1,0,0,0,0,0,0
Colebrookea oppositifolia Sm.,Colebrookea oppositifolia Sm.,Native,0,0,0,0,0,1,0,0,0
Comastoma tenellum (Rottb.) Toyok.,Comastoma tenellum (Rottb.) Toyok.,Native,0,0,0,0,0,0,0,1,0
Commelina benghalensis L.,Commelina benghalensis L.,Native,0,0,1,0,0,0,1,0,0
Conyza aegyptiaca (L.) Aiton,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Native,0,0,1,0,0,0,0,0,0
Cordia myxa L.,Cordia myxa L.,NA,0,0,1,0,0,0,0,0,0
Coriaria napalensis Wall.,Coriaria napalensis Wall.,Native,0,0,1,1,0,0,0,0,0
Cornus macrophylla Wall.,Cornus macrophylla Wall.,Native,0,0,0,0,0,0,0,1,0
Cortusa brotheri (R.Knuth) Losinsk.,Primula matthioli (L.) V.A.Richt.,Native,0,0,0,0,0,0,0,1,0
Corydalis govaniana Wall.,Corydalis govaniana Wall.,Native,0,0,0,1,0,1,0,0,0
Corydalis thyrsiflora Prain,Corydalis thyrsiflora Prain,Native,0,0,1,0,0,0,0,0,0
Corydalis vaginans Royle,Corydalis vaginans Royle,Native,0,0,0,0,0,0,0,1,0
Corylus jacquemontii Decne.,Corylus jacquemontii Decne.,Native,0,0,0,0,0,0,0,1,0
Cotoneaster acuminatus Lindl.,Cotoneaster acuminatus Lindl.,Native,1,0,0,0,0,0,0,0,0
Cotoneaster bacillaris Wall. ex Lindl.,Cotoneaster affinis Lindl.,Native,1,0,0,0,0,0,0,1,0
Cotoneaster brandisii G.Klotz,Cotoneaster integrifolius (Roxb.) G.Klotz,Native,0,0,0,1,0,0,0,0,0
Cotoneaster hedegaardii J.Fryer & B.Hylmö,Cotoneaster hedegaardii J.Fryer & B.Hylmö,Native,0,0,0,1,0,0,0,0,0
