elevation,richness,species,site
1600,673,1359,All
1700,665,1359,All
1800,652,1359,All
1900,628,1359,All
2000,616,1359,All
2100,603,1359,All
2200,576,1359,All
2300,557,1359,All
2400,505,1359,All
2500,465,1359,All
2600,426,1359,All
2700,385,1359,All
2800,354,1359,All
2900,312,1359,All
3000,281,1359,All
3100,245,1359,All
3200,196,1359,All
3300,160,1359,All
3400,116,1359,All
