"taxon_name","taxon_authors","LL","UL"
"Chrysopogon aciculatus","(Retz.) Trin.",1100,1200
"Chrysopogon fulvus","(Spreng.) Chiov.",350,650
"Chrysopogon serrulatus","Trin.",1100,1400
"Cinnamomum tamala","(Buch.-Ham.) T.Nees & C.H.Eberm.",1100,1400
"Circaea alpina","L.",1250,2850
"Cirsium arvense","(L.) Scop.",698,1002
"Cirsium falconeri","(Hook.f.) Petr.",950,3350
"Cirsium wallichii","DC.",1550,1950
"Cissampelos pareira","L.",1050,1150
"Clematis barbellata","Edgew.",1100,2600
"Clematis buchananiana","DC.",1450,1550
"Clematis gouriana","Roxb. ex DC.",1425,1575
"Clematis grata","Wall.",1100,1600
"Clematis montana","Buch.-Ham. ex DC.",1300,2800
"Cleome viscosa","L.",900,1100
"Clerodendrum indicum","(L.) Kuntze",650,750
"Clerodendrum phlomidis","L.f.",300,650
"Clintonia udensis","Trautv. & C.A.Mey.",1200,2800
"Clitoria ternatea","L.",850,950
"Coccinia grandis","(L.) Voigt",715,835
"Cocculus hirsutus","(L.) W.Theob.",348,652
"Cocculus laurifolius","DC.",1098,1402
"Codonopsis viridis","Wall.",1050,2250
"Colebrookea oppositifolia","Sm.",1020,1220
"Colocasia esculenta","(L.) Schott",1295,1395
"Comastoma tenellum","(Rottb.) Toyok.",1000,3600
"Combretum indicum","(L.) DeFilipps",400,600
"Commelina benghalensis","L.",950,1250
"Commelina paludosa","Blume",1700,1800
"Commicarpus chinensis","(L.) Heimerl",300,700
"Convolvulus arvensis","L.",1850,2250
"Convolvulus prostratus","Forssk.",800,1200
"Corchorus aestuans","L.",1200,1500
"Corchorus olitorius","L.",409.5,809.5
"Cordia dichotoma","G.Forst.",800,1000
"Cordia vestita","(A.DC.) Hook.f. & Thomson",457.5,761.5
"Cordiofontis flexuosa","(Royle ex Lindl.) G.L.Nesom",1050,2850
"Cordiofontis peduncularis","(Wall. ex Nees) G.L.Nesom",850,2250
"Coriaria napalensis","Wall.",1295.5,1904.5
"Cornus capitata","Wall.",1100,2300
"Cornus macrophylla","Wall.",1050,1950
"Corydalis govaniana","Wall.",1200,3600
"Corydalis thyrsiflora","Prain",1050,3600
"Corydalis vaginans","Royle",1250,3250
"Corylus jacquemontii","Decne.",750,2250
"Cotinus coggygria","Scop.",850,1650
"Cotoneaster acuminatus","Lindl.",1250,3500
"Cotoneaster affinis","Lindl.",400,2700
"Cotoneaster integrifolius","(Roxb.) G.Klotz",650,3600
"Cotoneaster microphyllus","Wall. ex Lindl.",1500,3600
"Cotoneaster roseus","Edgew.",1550,1950
"Craniotome furcata","(Link) Kuntze",1150,2050
"Crepidium acuminatum","(D.Don) Szlach.",1275,1725
"Crotalaria albida","B.Heyne ex Roth",1300,1500
"Crotalaria medicaginea","Lam.",1050,1450
"Crotalaria prostrata","Rottler ex Willd.",950,1350
"Crotalaria spectabilis","Roth",1250,1450
"Croton bonplandianus","Baill.",450,550
"Crucihimalaya stricta","(Cambess.) Al-Shehbaz, O'Kane & R.A.Price",700,2900
"Cryptolepis buchananii","R.Br. ex Roem. & Schult.",1125,1225
"Cucumis maderaspatanus","L.",840,960
"Cucumis sativus","L.",800,1200
"Cupressus torulosa","D.Don ex Lamb.",850,2450
"Curculigo orchioides","Gaertn.",850,950
"Cuscuta reflexa","Roxb.",1700,1900
"Cyanotis vaga","(Lour.) Schult. & Schult.f.",1350,1750
"Cyanthillium cinereum","(L.) H.Rob.",1700,1800
"Cyathocline purpurea","(Buch.-Ham. ex D.Don) Kuntze",700,1100
"Cyathula capitata","Moq.",1150,2150
"Cyathula tomentosa","(Schult.) Moq.",1050,1650
"Cyclospermum leptophyllum","(Pers.) Sprague ex Britton & P.Wilson",400,1100
"Cymbalaria muralis","G.Gaertn., B.Mey. & Scherb.",300,2100
"Cymbopogon martini","(Roxb.) W.Watson",800,1200
"Cynodon dactylon","(L.) Pers.",1450,1550
"Cynoglossum lanceolatum","Forssk.",1575,1725
"Cynoglossum microglochin","Benth.",650,3150
"Cynoglossum wallichii","G.Don",1890,2290
"Cynoglossum zeylanicum","(Sw. ex Lehm.) Thunb. ex Brand",1750,2350
"Cyperus compressus","L.",1200,1300
"Cyperus cuspidatus","Kunth",1725,1875
"Cyperus dubius","Rottb.",1050,1450
"Cyperus niveus","Retz.",1400,1500
"Cyperus rotundus","L.",1150,1250
"Cypripedium cordigerum","D.Don",950,3050
"Cypripedium himalaicum","Rolfe",1100,3600
"Dactyloctenium aegyptium","(L.) Willd.",650,850
"Dactylorhiza hatagirea","(D.Don) Soó",1700,2300
"Dalbergia lanceolaria","L.f.",450,550
"Dalbergia sissoo","Roxb. ex DC.",600,800
"Daphne papyracea","Wall. ex G.Don",1200,2200
"Datura innoxia","Mill.",600,1450
"Datura metel","L.",600,700
"Datura stramonium","L.",1400,1600
"Debregeasia longifolia","(Burm.f.) Wedd.",1200,1300
"Debregeasia saeneb","(Forssk.) Hepper & J.R.I.Wood",1000,1400
"Decalepidanthus racemosus","(Royle ex Benth.) Dickoré & Hilger",750,2750
"Deeringia amaranthoides","(Lam.) Merr.",850,950
"Delonix regia","(Bojer ex Hook.) Raf.",650,850
"Delphinium denudatum","Wall. ex Hook.f. & Thomson",1500,2000
"Delphinium vestitum","Wall. ex Royle",1350,3350
"Dendrocalamus strictus","(Roxb.) Nees",709.5,814.5
"Dendrophthoe falcata","(L.f.) Ettingsh.",1150,1550
"Deutzia corymbosa","R.Br. ex G.Don",700,2800
"Deutzia staminea","R.Br. ex Wall.",1143,2057
"Dichanthium annulatum","(Forssk.) Stapf",825,975
"Dicliptera bupleuroides","Nees",1150,1350
"Dicliptera chinensis","(L.) Juss.",1000,1200
"Dicliptera paniculata","(Forssk.) I.Darbysh.",400,900
"Dienia cylindrostachya","Lindl.",1100,2900
"Digera muricata","(L.) Mart.",300,700
"Digitaria abludens","(Roem. & Schult.) Veldkamp",1075,1375
"Digitaria cruciata","(Nees ex Steud.) E.G.Camus & A.Camus",1550,1950
"Digitaria sanguinalis","(L.) Scop.",450,2150
"Digitaria stricta","Roth",1000,1400
"Dinetus racemosus","(Roxb.) Sweet",1550,1650
"Dioscorea belophylla","(Prain) Voigt ex Haines",975,1175
"Dioscorea bulbifera","L.",1300,1400
"Dioscorea deltoidea","Wall. ex Griseb.",1700,1800
"Dioscorea melanophyma","Prain & Burkill",1475,1875
"Dioscorea pentaphylla","L.",1075,1175
"Diospyros chloroxylon","Roxb.",350.5,563.5
"Diospyros montana","Roxb.",457.5,761.5
"Diplocyclos palmatus","(L.) C.Jeffrey",1200,1300
"Dipsacus inermis","Wall.",1440.5,2659.5
"Disporum cantoniense","(Lour.) Merr.",1325,2025
"Dodonaea viscosa","Jacq.",800,1200
"Dolomiaea macrocephala","DC. ex Royle",650,3600
"Drepanostachyum falcatum","(Nees) Keng f.",800,2000
"Drimia indica","(Roxb.) Jessop",1000,1400
"Drymaria cordata","(L.) Willd. ex Schult.",2000,2300
"Duhaldea cappa","(Buch.-Ham. ex D.Don) Pruski & Anderb.",1225,1375
"Duhaldea cuspidata","(DC.) Anderb.",1350,1650
"Dumasia villosa","DC.",1325,1675
"Duranta erecta","L.",725,925
"Echinochloa colonum","(L.) Link",1000,1400
"Echinochloa crus-galli","(L.) P.Beauv.",1152.5,1457.5
"Eclipta prostrata","(L.) L.",500,3000
"Ehretia aspera","Willd.",550,650
"Eleocharis congesta","D.Don",1400,1600
"Eleocharis palustris","(L.) Roem. & Schult.",2400,2800
"Elsholtzia ciliata","(Thunb.) Hyl.",1130,2530
"Elsholtzia eriostachya","(Benth.) Benth.",1040,3600
"Elsholtzia fruticosa","(D.Don) Rehder",1500,2700
"Elsholtzia strobilifera","(Benth.) Benth.",1650,3150
"Elymus semicostatus","(Steud.) Melderis",1150,2850
"Emilia sonchifolia","(L.) DC.",950,1050
"Engelhardia spicata","Lechen ex Blume",850,1250
"Epilobium amurense","Hausskn.",1500,2100
"Epilobium brevifolium","D.Don",1750,2350
"Epilobium cylindricum","D.Don",2000,2200
"Epilobium latifolium","L.",600,3600
"Epilobium laxum","Royle",1000,3000
"Epilobium royleanum","Hausskn.",1350,2750
"Epipactis helleborine","(L.) Crantz",1550,3050
"Epipactis royleana","Lindl.",1550,2450
"Equilabium molle","(Aiton) Mwany. & A.J.Paton",950,1850
