"taxon_name","taxon_authors","LL","UL"
"Terminalia elliptica","Willd.",650,850
"Tetrastigma serrulatum","(Roxb.) Planch.",1250,1750
"Teucrium quadrifarium","Buch.-Ham. ex D.Don",650,1850
"Thalictrum alpinum","L.",1100,3600
"Thalictrum cultratum","Wall.",950,3250
"Thalictrum foetidum","L.",1600,3100
"Thalictrum foliolosum","DC.",1700,2300
"Thalictrum javanicum","Blume",1443,2357
"Thalictrum minus","L.",1500,2000
"Thalictrum pedunculatum","Edgew.",750,2650
"Thalictrum reniforme","Wall.",1250,2750
"Thamnocalamus spathiflorus","(Trin.) Munro",900,2700
"Themeda anathera","(Nees ex Steud.) Hack.",1550,1950
"Theropogon pallidus","(Wall. ex Kunth) Maxim.",1235,2735
"Thlaspi arvense","L.",1500,3000
"Thymus linearis","Benth.",1550,2950
"Toona ciliata","M.Roem.",1350,1450
"Torenia cordifolia","Roxb.",1200,1600
"Toxicodendron wallichii","(Hook.f.) Kuntze",1250,1550
"Trema orientale","(L.) Blume",900,1000
"Trema politoria","(Planch.) Blume",850,950
"Tribulus terrestris","L.",725,875
"Trichodesma indicum","(L.) Sm.",1090,1290
"Tricholepis elongata","DC.",850,2150
"Trichosanthes cucumerina","L.",800,1000
"Tridax procumbens","L.",1140,1240
"Trifolium dubium","Sibth.",650,2350
"Trifolium pratense","L.",1150,1550
"Trifolium repens","L.",1550,1950
"Trigastrotheca pentaphylla","(L.) Thulin",650,950
"Trigonella balansae","Boiss. & Reut.",1800,2200
"Trigonella emodi","Benth.",1050,3050
"Trigonella gracilis","Benth.",800,2600
"Trillium govanianum","Wall. ex D.Don",750,3250
"Tripidium bengalense","(Retz.) H.Scholz",350,650
"Tripidium ravennae","(L.) H.Scholz",550,950
"Tripidium rufipilum","(Steud.) Welker, Voronts. & E.A.Kellogg",990,2210
"Trisetum clarkei","(Hook.f.) R.R.Stewart",300,3250
"Triumfetta rhomboidea","Jacq.",1300,1400
"Trollius acaulis","Lindl.",1000,3600
"Ulmus villosa","Brandis ex Gamble",650,1850
"Uraria picta","(Jacq.) Desv. ex DC.",598,902
"Urena lobata","L.",940,1040
"Urochloa panicoides","P.Beauv.",300,950
"Urochloa ramosa","(L.) T.Q.Nguyen",850,950
"Urochloa villosa","(Lam.) T.Q.Nguyen",1125,1275
"Urtica ardens","Link",1771.5,2228.5
"Urtica dioica","L.",1750,2750
"Vachellia farnesiana","(L.) Wight & Arn.",800,1000
"Vachellia nilotica","(L.) P.J.H.Hurter & Mabb.",675,825
"Valeriana hardwickei","Wall.",1674,2588
"Valeriana jatamansi","Jones ex Roxb.",1200,2400
"Vallaris solanacea","(Roth) Kuntze",750,850
"Ventilago denticulata","Willd.",600,700
"Verbascum coromandelianum","(Vahl) Hub.-Mor.",800,1200
"Verbascum thapsus","L.",1800,2200
"Verbena bonariensis","L.",300,1750
"Veronica biloba","Schreb. ex L.",1250,2950
"Veronica laxa","Benth.",750,2250
"Veronica persica","Poir.",1600,2000
"Viburnum cotinifolium","D.Don",1110,2610
"Viburnum cylindricum","Buch.-Ham. ex D.Don",1400,1900
"Viburnum grandiflorum","Wall. ex DC.",1055,2755
"Viburnum mullaha","Buch.-Ham. ex D.Don",1250,2750
"Viburnum nervosum","D.Don",1160,2840
"Vicatia coniifolia","DC.",2150,3600
"Vicia hirsuta","(L.) Gray",1450,1550
"Vicia lens","(L.) Coss. & Germ.",425,575
"Vicia sativa","L.",1950,2050
"Vicia tenera","Benth.",900,1600
"Vicoa indica","(L.) DC.",1275,1525
"Vigna aconitifolia","(Jacq.) Maréchal",300,400
"Vigna unguiculata","(L.) Walp.",864.5,964.5
"Vinca major","L.",700,1800
"Vincetoxicum hirundinaria","Medik.",925,2725
"Viola betonicifolia","Sm.",1150,1850
"Viola biflora","L.",2100,2400
"Viola canescens","Wall.",1675,1825
"Viola pilosa","Blume",1400,2200
"Vitex negundo","L.",950,1050
"Vitis flexuosa","Thunb.",900,1300
"Wendlandia heynei","(Schult.) Santapau & Merchant",850,1000
"Wikstroemia canescens","Meisn.",850,2350
"Withania somnifera","(L.) Dunal",893.5,1106.5
"Woodfordia fruticosa","(L.) Kurz",890.5,1090.5
"Wrightia arborea","(Dennst.) Mabb.",850,950
"Wulfeniopsis amherstiana","(Benth.) D.Y.Hong",750,2250
"Xanthium strumarium","L.",1200,1300
"Youngia japonica","(L.) DC.",1750,1950
"Zanthoxylum armatum","DC.",1625,1875
"Zea mays","L.",850,950
"Zeuxine strateumatica","(L.) Schltr.",520,680
"Zingiber officinale","Roscoe",550,950
"Ziziphus jujuba","Mill.",1050,1150
"Ziziphus nummularia","(Burm.f.) Wight & Arn.",500,900
"Ziziphus oenopolia","(L.) Mill.",525,675
"Ziziphus oxyphylla","Edgew.",700,1100
"Ziziphus xylopyrus","(Retz.) Willd.",559.5,659.5
"Zornia gibbosa","Span.",1050,1150
